,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name
24,Clint Mathis,NY,M,26,19,1722,6,2,47,22,0,4,2,0.31,12.8,2007,REG,1,2,0,0.1,46.8,16,15,5,2,2,0,1,Mathis,Clint,NY
25,Danny Dichio,TOR,F,17,14,1175,6,1,20,13,0,4,2,0.46,30.0,2007,REG,0,0,1,0.08,65.0,46,38,6,3,1,0,0,Dichio,Danny,TOR
26,Jeff Cunningham,RSL,F,23,20,1636,6,1,32,21,0,5,1,0.33,18.8,2007,REG,0,0,1,0.06,65.6,8,21,33,3,0,1,1,Cunningham,Jeff,RSL
27,Juan Toja,DAL,M,27,27,2388,6,1,33,16,3,1,5,0.23,18.2,2007,REG,0,1,0,0.04,48.5,83,41,6,4,0,0,0,Toja,Juan,DAL
28,Jovan Kirovski,COL,M-F,28,28,2161,6,1,36,14,2,4,2,0.25,16.7,2007,REG,1,1,0,0.04,38.9,38,19,16,3,0,4,4,Kirovski,Jovan,COL
29,Guillermo Barros Schelotto,CLB,F,22,19,1605,5,11,39,18,3,3,2,0.28,12.8,2007,REG,1,3,8,0.62,46.2,23,65,20,5,0,1,1,Barros Schelotto,Guillermo,CLB
30,Eddie Gaven,CLB,M,27,21,1923,5,7,59,33,0,4,1,0.23,8.5,2007,REG,1,0,7,0.33,55.9,18,50,10,1,0,0,0,Gaven,Eddie,CLB
31,Stuart Holden,HOU,M,22,10,1030,5,5,24,13,3,2,3,0.44,20.8,2007,REG,2,3,2,0.44,54.2,18,15,1,2,0,0,0,Holden,Stuart,HOU
32,Abe Thompson,DAL,F,24,15,1227,5,4,19,11,2,2,3,0.37,26.3,2007,REG,1,1,3,0.29,57.9,14,10,13,2,0,2,2,Thompson,Abe,DAL
33,Edson Buddle,LA,F,26,15,1251,5,2,47,23,2,4,1,0.36,10.6,2007,REG,1,2,0,0.14,48.9,29,21,19,3,0,0,0,Buddle,Edson,LA
34,Chris Brown,RSL,M-F,22,12,1083,5,0,23,13,0,2,3,0.42,21.7,2007,REG,0,0,0,0.0,56.5,9,12,4,0,0,0,0,Brown,Chris,RSL
35,Yura Movsisyan,RSL,F,23,9,993,5,0,42,13,1,2,3,0.45,11.9,2007,REG,0,0,0,0.0,31.0,25,24,4,1,1,0,0,Movsisyan,Yura,RSL
36,Steve Ralston,NE,M,26,26,2337,4,14,33,18,2,4,0,0.15,12.1,2007,REG,2,9,5,0.54,54.5,16,29,3,1,0,0,0,Ralston,Steve,NE
37,Sacha Kljestan,OCS,M,25,25,2186,4,13,40,21,0,1,3,0.16,10.0,2007,REG,3,8,5,0.54,52.5,45,34,2,5,0,1,1,Kljestan,Sacha,ORL
38,Davy Arnaud,KC,M,28,28,2489,4,9,74,29,0,1,3,0.14,5.4,2007,REG,2,4,5,0.33,39.2,46,63,9,6,1,0,0,Arnaud,Davy,KC
39,Cuauhtemoc Blanco,CHI,M,14,14,1233,4,7,26,14,2,2,2,0.29,15.4,2007,REG,2,4,3,0.51,53.8,8,61,7,3,0,1,2,Blanco,Cuauhtemoc,CHI
40,Cobi Jones,LA,M,25,19,1679,4,5,19,12,1,4,0,0.21,21.1,2007,REG,3,4,1,0.27,63.2,9,26,7,0,0,0,0,Jones,Cobi,LA
41,Shalrie Joseph,NE,M,27,27,2366,4,5,42,14,1,3,1,0.15,9.5,2007,REG,4,2,3,0.19,33.3,55,52,5,4,1,3,4,Joseph,Shalrie,NE
42,Adam Cristman,NE,F,28,14,1421,4,4,40,16,0,3,1,0.25,10.0,2007,REG,1,3,1,0.25,40.0,41,51,10,1,0,0,0,Cristman,Adam,NE
43,Andy Herron,CLB,F,18,10,794,4,2,19,10,0,2,2,0.45,21.1,2007,REG,1,2,0,0.23,52.6,17,8,7,2,0,1,1,Herron,Andy,CLB
44,Kenny Cooper,DAL,F,14,12,1068,4,2,33,16,1,0,4,0.34,12.1,2007,REG,0,1,1,0.17,48.5,16,19,9,0,0,1,1,Cooper,Kenny,DAL
45,Hérculez Gómez,COL,F,20,16,1537,4,2,51,22,1,3,1,0.23,7.8,2007,REG,1,0,2,0.12,43.1,38,46,17,6,0,0,0,Gómez,Hérculez,COL
46,Maurice Edu,TOR,M,25,25,2180,4,1,24,8,1,3,1,0.17,16.7,2007,REG,0,1,0,0.04,33.3,65,50,1,6,1,0,0,Edu,Maurice,TOR
47,Gavin Glinton,LA,F,19,3,711,4,0,19,12,2,1,3,0.51,21.1,2007,REG,0,0,0,0.0,63.2,7,20,5,0,0,0,0,Glinton,Gavin,LA
48,Ramon Nunez,CHV,M,21,12,1248,3,5,43,15,2,3,0,0.22,7.0,2007,REG,2,1,4,0.36,34.9,7,29,1,1,0,0,0,Nunez,Ramon,CHV
49,Michael Harrington,KC,D,29,27,2422,3,4,15,9,0,2,1,0.11,20.0,2007,REG,1,2,2,0.15,60.0,38,26,7,1,0,0,0,Harrington,Michael,KC
50,Jeff Larentowicz,ATL,M,28,28,2455,3,4,28,9,1,1,2,0.11,10.7,2007,REG,1,3,1,0.15,32.1,61,30,0,5,0,0,0,Larentowicz,Jeff,ATL
51,Brad Davis,HOU,M,17,16,1275,3,3,27,18,0,3,0,0.21,11.1,2007,REG,1,1,2,0.21,66.7,18,30,2,1,0,1,1,Davis,Brad,HOU
52,Ned Grabavoy,CLB,M,26,24,2093,3,3,37,17,0,2,1,0.13,8.1,2007,REG,1,1,2,0.13,45.9,22,34,2,2,0,0,1,Grabavoy,Ned,CLB
53,Kyle Beckerman,RSL,M,28,27,2430,3,3,52,19,0,0,3,0.11,5.8,2007,REG,2,2,1,0.11,36.5,39,41,2,9,0,0,0,Beckerman,Kyle,RSL
54,Arturo Alvarez,HOU,M,27,21,1898,3,3,61,30,0,2,1,0.14,4.9,2007,REG,1,1,2,0.14,49.2,35,34,5,2,0,0,0,Alvarez,Arturo,HOU
55,Kerry Zavagnin,KC,M,29,29,2564,3,2,16,5,0,2,1,0.11,18.8,2007,REG,0,1,1,0.07,31.3,35,42,0,6,0,0,0,Zavagnin,Kerry,KC
56,Stefani Miglioranzi,CLB,M,23,17,1621,3,2,18,7,1,1,2,0.17,16.7,2007,REG,1,1,1,0.11,38.9,26,11,1,3,0,0,0,Miglioranzi,Stefani,CLB
57,Dominic Oduro,MTL,M,29,10,1163,3,2,24,13,1,2,1,0.23,12.5,2007,REG,0,0,2,0.15,54.2,16,23,17,3,0,0,0,Oduro,Dominic,MTL
58,John Wolyniec,NY,F,21,13,1032,3,2,24,7,3,2,1,0.26,12.5,2007,REG,1,1,1,0.17,29.2,16,27,7,1,0,0,0,Wolyniec,John,NY
59,Calen Carr,CHI,F,27,10,1134,3,2,33,13,0,2,1,0.24,9.1,2007,REG,1,1,1,0.16,39.4,24,12,4,5,0,0,0,Carr,Calen,CHI
60,Claudio Suarez,CHV,D,25,25,2153,3,1,14,9,0,1,2,0.13,21.4,2007,REG,0,0,1,0.04,64.3,31,11,0,6,1,1,1,Suarez,Claudio,CHV
61,Robbie Rogers,CLB,D,10,6,597,3,1,15,6,1,0,3,0.45,20.0,2007,REG,0,0,1,0.15,40.0,10,12,5,0,0,0,0,Rogers,Robbie,CLB
62,John Cunliffe,CHV,F,15,5,494,3,1,16,8,0,0,3,0.55,18.8,2007,REG,0,1,0,0.18,50.0,8,5,7,0,0,0,0,Cunliffe,John,CHV
63,Carey Talley,RSL,D,26,25,2195,3,1,28,9,0,2,1,0.12,10.7,2007,REG,1,0,1,0.04,32.1,38,38,2,6,0,2,2,Talley,Carey,RSL
64,Kyle Martino,LA,M,26,25,1928,3,1,29,10,1,2,1,0.14,10.3,2007,REG,1,1,0,0.05,34.5,36,43,9,6,2,0,1,Martino,Kyle,LA
65,Roberto Brown,COL,F,13,8,696,3,0,14,4,2,2,1,0.39,21.4,2007,REG,0,0,0,0.0,28.6,31,11,16,2,1,0,0,Brown,Roberto,COL
66,Alan Gordon,LA,F,14,11,828,3,0,19,8,0,3,0,0.33,15.8,2007,REG,0,0,0,0.0,42.1,22,17,11,1,0,0,0,Gordon,Alan,LA
67,Carlos Pavon,LA,F,18,10,978,3,0,29,10,0,0,3,0.28,10.3,2007,REG,0,0,0,0.0,34.5,6,21,24,0,0,0,0,Pavon,Carlos,LA
68,Collin Samuel,TOR,F,18,18,1510,3,0,41,24,1,1,2,0.18,7.3,2007,REG,0,0,0,0.0,58.5,29,34,9,2,0,1,1,Samuel,Collin,TOR
69,Dave van den Bergh,NY,M,29,26,2228,2,8,36,19,0,1,1,0.08,5.6,2007,REG,1,3,5,0.32,52.8,23,14,3,1,0,0,0,van den Bergh,Dave,NY
70,Sasha Victorine,KC,M,29,24,2135,2,7,37,13,0,1,1,0.08,5.4,2007,REG,2,4,3,0.3,35.1,27,37,5,1,0,0,0,Victorine,Sasha,KC
71,Dane Richards,NY,M,28,27,2335,2,6,24,14,0,0,2,0.08,8.3,2007,REG,3,6,0,0.23,58.3,50,35,12,5,0,0,0,Richards,Dane,NY
72,Khano Smith,NE,M,29,26,2210,2,6,36,12,1,2,0,0.08,5.6,2007,REG,3,4,2,0.24,33.3,42,41,5,4,0,0,0,Smith,Khano,NE
73,Carl Robinson,TOR,M,26,26,2340,2,4,14,8,0,1,1,0.08,14.3,2007,REG,0,4,0,0.15,57.1,50,24,0,6,0,0,0,Robinson,Carl,TOR
74,Jesse Marsch,CHV,M,28,28,2425,2,4,15,6,2,2,0,0.07,13.3,2007,REG,1,2,2,0.15,40.0,44,31,0,9,0,0,0,Marsch,Jesse,CHV
75,Jose Burciaga Jr.,KC,D,23,23,1826,2,4,26,12,2,2,0,0.1,7.7,2007,REG,0,3,1,0.2,46.2,26,28,0,5,1,0,0,Burciaga Jr.,Jose,KC
76,Francisco Mendoza,CHV,M,28,27,2459,2,4,36,16,0,1,1,0.07,5.6,2007,REG,0,2,2,0.15,44.4,31,46,10,3,0,0,0,Mendoza,Francisco,CHV
77,Chris Klein,LA,M,32,32,2880,2,4,40,16,1,2,0,0.06,5.0,2007,REG,1,4,0,0.13,40.0,23,20,8,1,0,0,0,Klein,Chris,LA
78,Conor Casey,COL,F,17,11,1033,2,3,12,5,1,1,1,0.17,16.7,2007,REG,1,1,2,0.26,41.7,25,16,9,3,0,0,0,Casey,Conor,COL
79,Jack Jewsbury,KC,M,28,27,2316,2,3,25,6,0,0,2,0.08,8.0,2007,REG,0,0,3,0.12,24.0,22,34,1,5,0,0,0,Jewsbury,Jack,KC
80,Ricardo Clark,HOU,M,19,18,1635,2,3,28,11,0,1,1,0.11,7.1,2007,REG,3,1,2,0.17,39.3,29,22,3,2,1,0,0,Clark,Ricardo,HOU
81,Alecko Eskandarian,RSL,F,23,23,1913,2,3,58,30,0,2,0,0.09,3.4,2007,REG,2,2,1,0.14,51.7,46,50,16,9,1,1,2,Eskandarian,Alecko,RSL
82,Eddie Robinson,HOU,D,25,25,2187,2,2,10,5,0,1,1,0.08,20.0,2007,REG,0,0,2,0.08,50.0,70,64,0,11,1,0,0,Robinson,Eddie,HOU
83,Fabian Espindola,RSL,F,12,8,602,2,2,13,9,1,1,1,0.3,15.4,2007,REG,0,1,1,0.3,69.2,7,16,7,3,1,0,0,Espindola,Fabian,RSL
84,Paulo Nagamura,CHV,M,26,24,2172,2,2,19,8,2,0,2,0.08,10.5,2007,REG,0,1,1,0.08,42.1,46,44,1,8,0,0,0,Nagamura,Paulo,CHV
85,Colin Clark,COL,M,16,16,1321,2,2,26,5,0,2,0,0.14,7.7,2007,REG,0,1,1,0.14,19.2,24,24,3,2,0,0,0,Clark,Colin,COL
86,Francis Doe,NY,F,8,4,428,2,1,17,7,0,2,0,0.42,11.8,2007,REG,0,1,0,0.21,41.2,8,4,15,1,0,0,0,Doe,Francis,NY
87,Dema Kovalenko,NY,M,19,15,1377,2,1,21,7,0,0,2,0.13,9.5,2007,REG,0,0,1,0.07,33.3,29,22,3,5,0,0,0,Kovalenko,Dema,NY
88,Troy Roberts,LA,D,16,12,1140,2,0,4,2,0,1,1,0.16,50.0,2007,REG,0,0,0,0.0,50.0,25,11,1,3,1,0,0,Roberts,Troy,LA
89,Drew Moor,TOR,D,28,28,2495,2,0,7,3,1,2,0,0.07,28.6,2007,REG,0,0,0,0.0,42.9,17,30,1,3,0,0,0,Moor,Drew,TOR
90,Kyle Brown,RSL,F,8,3,286,2,0,7,4,1,1,1,0.63,28.6,2007,REG,0,0,0,0.0,57.1,6,1,3,0,0,0,0,Brown,Kyle,RSL
91,Chad Marshall,SEA,D,12,11,1020,2,0,8,3,0,0,2,0.18,25.0,2007,REG,0,0,0,0.0,37.5,7,6,0,0,0,0,0,Marshall,Chad,SEA
92,Omar Cummings,COL,F,11,0,182,2,0,10,6,1,1,1,0.99,20.0,2007,REG,0,0,0,0.0,60.0,2,1,3,0,0,0,0,Cummings,Omar,COL
93,Kei Kamara,VAN,F,17,4,475,2,0,16,7,1,2,0,0.38,12.5,2007,REG,0,0,0,0.0,43.8,11,12,5,0,0,0,0,Kamara,Kei,VAN
94,Paulo Wanchope,CHI,F,12,10,932,2,0,26,13,1,0,2,0.19,7.7,2007,REG,0,0,0,0.0,50.0,20,15,10,2,0,0,0,Wanchope,Paulo,CHI
95,Dax McCarty,CHI,M,25,18,1604,1,7,13,5,0,0,1,0.06,7.7,2007,REG,2,4,3,0.39,38.5,12,46,0,0,0,0,0,McCarty,Dax,CHI
96,Carlos Marinelli,KC,M,26,19,1674,1,5,42,21,0,0,1,0.05,2.4,2007,REG,1,2,3,0.27,50.0,41,41,1,7,0,1,2,Marinelli,Carlos,KC
97,Duncan Oughton,CLB,D,19,13,1231,1,4,9,5,0,0,1,0.07,11.1,2007,REG,0,2,2,0.29,55.6,17,26,1,3,0,0,0,Oughton,Duncan,CLB
98,Marc Burch,MIN,D,18,15,1362,1,3,9,3,0,1,0,0.07,11.1,2007,REG,1,1,2,0.2,33.3,21,12,1,3,0,0,0,Burch,Marc,MIN
99,Andy Welsh,TOR,M,20,16,1335,1,3,14,10,1,1,0,0.07,7.1,2007,REG,1,3,0,0.2,71.4,19,29,4,2,0,0,0,Welsh,Andy,TOR
100,Andy Williams,RSL,M,24,12,1277,1,3,19,9,0,1,0,0.07,5.3,2007,REG,0,1,2,0.21,47.4,29,32,3,1,1,0,0,Williams,Andy,RSL
101,Brian Mullan,HOU,D,28,28,2407,1,3,19,6,1,1,0,0.04,5.3,2007,REG,1,3,0,0.11,31.6,33,55,11,4,0,0,0,Mullan,Brian,HOU
102,Chris Gbandi,DAL,D,21,19,1700,1,2,5,3,1,1,0,0.05,20.0,2007,REG,0,1,1,0.11,60.0,24,11,2,7,1,0,0,Gbandi,Chris,DAL
103,Lawson Vaughn,CHV,D,24,22,1901,1,2,5,3,0,1,0,0.05,20.0,2007,REG,2,2,0,0.09,60.0,27,19,1,6,1,0,0,Vaughn,Lawson,CHV
104,Javier Morales,RSL,M,7,5,369,1,2,6,3,0,1,0,0.24,16.7,2007,REG,0,1,1,0.49,50.0,8,9,1,2,0,0,0,Morales,Javier,RSL
105,Nicholas Addlery,DC,F,11,4,455,1,2,9,2,1,1,0,0.2,11.1,2007,REG,1,1,1,0.4,22.2,11,8,10,1,0,0,0,Addlery,Nicholas,DC
106,Facundo Erpen,COL,D,26,25,2056,1,2,11,2,0,0,1,0.04,9.1,2007,REG,0,2,0,0.09,18.2,42,23,0,6,1,0,0,Erpen,Facundo,COL
107,Ivan Guerrero,CHI,M,19,16,1490,1,2,12,5,1,0,1,0.06,8.3,2007,REG,1,1,1,0.12,41.7,11,25,3,0,0,0,0,Guerrero,Ivan,CHI
108,Laurent Merlin,CHV,F,22,7,804,1,2,15,8,0,1,0,0.11,6.7,2007,REG,0,0,2,0.22,53.3,19,28,8,1,0,0,0,Merlin,Laurent,CHV
109,Freddy Adu,RSL,F,11,10,899,1,2,24,12,0,0,1,0.1,4.2,2007,REG,0,1,1,0.2,50.0,11,25,6,1,0,1,1,Adu,Freddy,RSL
110,Mehdi Ballouchy,COL,M,23,22,1853,1,2,35,10,0,0,1,0.05,2.9,2007,REG,1,1,1,0.1,28.6,40,39,5,8,1,0,0,Ballouchy,Mehdi,COL
111,Orlando Perez,CHV,D,15,12,1033,1,1,3,1,0,1,0,0.09,33.3,2007,REG,0,1,0,0.09,33.3,10,7,0,5,0,0,0,Perez,Orlando,CHV
112,Andrew Boyens,TOR,D,23,21,1825,1,1,4,2,1,1,0,0.05,25.0,2007,REG,0,1,0,0.05,50.0,33,18,0,4,2,0,0,Boyens,Andrew,TOR
113,Chris Wondolowski,SJ,F,16,3,307,1,1,6,1,0,0,1,0.29,16.7,2007,REG,0,1,0,0.29,16.7,4,3,4,0,0,0,0,Wondolowski,Chris,SJ
114,Hunter Freeman,NY,D,16,15,1342,1,1,6,4,1,0,1,0.07,16.7,2007,REG,1,1,0,0.07,66.7,21,19,0,2,0,0,0,Freeman,Hunter,NY
115,Eloy Colombano,KC,M-F,10,1,310,1,1,6,1,0,0,1,0.29,16.7,2007,REG,1,1,0,0.29,16.7,3,5,4,1,0,0,0,Colombano,Eloy,KC
116,Willian Oliveira,CHI,M,8,4,381,1,1,7,4,0,1,0,0.24,14.3,2007,REG,0,1,0,0.24,57.1,1,6,3,0,0,0,0,Oliveira,Willian,CHI
117,Clarence Goodson,DAL,D,27,27,2297,1,1,9,5,1,1,0,0.04,11.1,2007,REG,0,1,0,0.04,55.6,36,37,0,6,0,0,0,Goodson,Clarence,DAL
118,Kevin Goldthwaite,HOU,D,19,17,1466,1,1,11,6,1,1,0,0.06,9.1,2007,REG,0,1,0,0.06,54.5,21,20,0,4,1,0,0,Goldthwaite,Kevin,HOU
119,Joshua Gros,DC,M-D,22,22,1854,1,1,11,8,1,0,1,0.05,9.1,2007,REG,0,1,0,0.05,72.7,22,20,5,3,0,0,0,Gros,Joshua,DC
120,Jonathan Bornstein,CHV,D,23,23,2070,1,1,14,8,0,0,1,0.04,7.1,2007,REG,0,1,0,0.04,57.1,28,28,1,1,0,0,0,Bornstein,Jonathan,CHV
121,Gonzalo Segares,CHI,D,27,27,2406,1,1,15,5,0,1,0,0.04,6.7,2007,REG,1,0,1,0.04,33.3,43,25,4,6,1,0,0,Segares,Gonzalo,CHI
122,Marcos Gonzalez,CLB,D,27,27,2356,1,1,21,5,0,0,1,0.04,4.8,2007,REG,0,0,1,0.04,23.8,43,21,0,4,1,0,0,Gonzalez,Marcos,CLB
123,Nicolas Hernandez,COL,F,21,17,1474,1,1,29,7,1,0,1,0.06,3.4,2007,REG,0,1,0,0.06,24.1,28,19,7,0,0,0,0,Hernandez,Nicolas,COL
124,Patrick Ianni,HOU,D-M,16,9,961,1,0,1,1,1,0,1,0.09,100.0,2007,REG,0,0,0,0.0,100.0,15,4,0,3,0,0,0,Ianni,Patrick,HOU
125,Sal Caccavale,NY,M,1,0,2,1,0,1,1,0,1,0,45.0,100.0,2007,REG,0,0,0,0.0,100.0,0,0,0,0,0,0,0,Caccavale,Sal,NY
126,Michael Parkhurst,ATL,D,25,25,2197,1,0,1,1,0,0,1,0.04,100.0,2007,REG,0,0,0,0.0,100.0,5,10,0,0,0,0,0,Parkhurst,Michael,ATL
127,Jeff Curtin,CHI,D,3,3,248,1,0,2,1,0,1,0,0.36,50.0,2007,REG,0,0,0,0.0,50.0,3,1,0,3,1,0,0,Curtin,Jeff,CHI
128,Logan Pause,CHI,M,23,21,1905,1,0,2,2,1,1,0,0.05,50.0,2007,REG,0,0,0,0.0,100.0,25,20,0,1,0,0,0,Pause,Logan,CHI
129,John Thorrington,CHI,M,2,0,31,1,0,2,2,1,1,0,2.9,50.0,2007,REG,0,0,0,0.0,100.0,1,0,0,0,0,0,0,Thorrington,John,CHI
130,Matias Mantilla,RSL,D,10,9,828,1,0,2,2,0,1,0,0.11,50.0,2007,REG,0,0,0,0.0,100.0,13,5,0,6,0,0,0,Mantilla,Matias,RSL
131,Floyd Franks,CHI,M,7,2,223,1,0,3,1,0,0,1,0.4,33.3,2007,REG,0,0,0,0.0,33.3,3,7,3,1,0,0,0,Franks,Floyd,CHI
132,Jerson Monteiro,CHI,F,5,1,154,1,0,3,3,0,0,1,0.58,33.3,2007,REG,0,0,0,0.0,100.0,3,0,1,0,0,0,0,Monteiro,Jerson,CHI
133,Mike Petke,COL,D,24,24,2018,1,0,4,1,0,1,0,0.04,25.0,2007,REG,0,0,0,0.0,25.0,24,16,1,4,0,0,0,Petke,Mike,COL
134,Eddie Pope,RSL,D,27,27,2248,1,0,5,1,1,0,1,0.04,20.0,2007,REG,0,0,0,0.0,20.0,24,27,0,2,0,0,0,Pope,Eddie,RSL
135,Rod Dyachenko,DC,M,14,4,378,1,0,5,3,0,1,0,0.24,20.0,2007,REG,0,0,0,0.0,60.0,22,1,3,3,0,0,0,Dyachenko,Rod,DC
136,Matt Taylor,CHV,F,11,0,156,1,0,5,5,0,1,0,0.58,20.0,2007,REG,0,0,0,0.0,100.0,2,3,3,0,0,0,0,Taylor,Matt,CHV
137,Miguel Canizalez,TOR,D,12,3,413,1,0,5,1,0,1,0,0.22,20.0,2007,REG,0,0,0,0.0,20.0,4,4,2,0,0,0,0,Canizalez,Miguel,TOR
138,Kevin Harmse,LA,M,17,13,1171,1,0,6,3,1,1,0,0.08,16.7,2007,REG,0,0,0,0.0,50.0,22,15,0,6,1,0,0,Harmse,Kevin,LA
139,Ryan Cochrane,HOU,D,25,25,2059,1,0,6,1,0,0,1,0.04,16.7,2007,REG,0,0,0,0.0,16.7,55,13,0,6,1,0,0,Cochrane,Ryan,HOU
140,Ugo Ihemelu,COL,D,25,23,2017,1,0,7,4,0,0,1,0.04,14.3,2007,REG,0,0,0,0.0,57.1,40,34,0,4,2,0,0,Ihemelu,Ugo,COL
141,Tyrone Marshall,LA,D,24,24,2159,1,0,10,1,0,1,0,0.04,10.0,2007,REG,0,0,0,0.0,10.0,34,16,0,5,1,0,0,Marshall,Tyrone,LA
142,Ezra Hendrickson,CLB,D,23,21,1851,1,0,11,5,1,1,0,0.05,9.1,2007,REG,0,0,0,0.0,45.5,30,5,1,3,1,0,0,Hendrickson,Ezra,CLB
143,Dasan Robinson,CHI,D,23,21,1819,1,0,11,3,0,0,1,0.05,9.1,2007,REG,0,0,0,0.0,27.3,35,34,2,4,0,0,0,Robinson,Dasan,CHI
144,Jim Brennan,TOR,D,27,27,2430,1,0,13,5,0,0,1,0.04,7.7,2007,REG,0,0,0,0.0,38.5,31,13,1,6,0,0,0,Brennan,Jim,TOR
145,Jason Garey,CLB,F,11,5,447,1,0,13,6,0,0,1,0.2,7.7,2007,REG,0,0,0,0.0,46.2,6,2,5,1,0,0,0,Garey,Jason,CLB
146,Denilson,DAL,M,8,7,606,1,0,14,4,1,1,0,0.15,7.1,2007,REG,0,0,0,0.0,28.6,10,21,2,3,0,1,1,,Denilson,DAL
147,Jose Cancela,COL,M,11,5,611,1,0,15,8,0,0,1,0.15,6.7,2007,REG,0,0,0,0.0,53.3,6,24,1,0,0,1,1,Cancela,Jose,COL
