,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
14,Joseph Ngwenya,CLB,F,30.0,30.0,2362.0,7.0,4.0,40.0,23.0,2.0,5.0,2.0,0.27,17.5,2007,REG,0.0,3.0,1.0,0.15,57.5,26.0,60.0,55.0,4.0,0.0,0.0,0.0,Ngwenya,Joseph,CLB,HOU,Ngwenya,Joseph,F,HOU,51148.13,62023.13,2007-08-31
15,Pat Noonan,NE,F,27.0,21.0,1736.0,7.0,4.0,42.0,24.0,1.0,6.0,1.0,0.36,16.7,2007,REG,1.0,3.0,1.0,0.21,57.1,12.0,41.0,32.0,2.0,0.0,0.0,0.0,Noonan,Pat,NE,NE,Noonan,Pat,F,NE,225000.0,227500.0,2007-08-31
16,Scott Sealy,KC,F,18.0,15.0,1193.0,7.0,2.0,33.0,20.0,2.0,4.0,3.0,0.53,21.2,2007,REG,0.0,0.0,2.0,0.15,60.6,7.0,30.0,23.0,1.0,0.0,0.0,0.0,Sealy,Scott,KC,KC,Sealy,Scott,F,KC,33075.0,33075.0,2007-08-31
17,Brian Ching,HOU,F,20.0,17.0,1590.0,7.0,2.0,48.0,18.0,3.0,4.0,3.0,0.4,14.6,2007,REG,0.0,0.0,2.0,0.11,37.5,31.0,46.0,15.0,1.0,0.0,0.0,0.0,Ching,Brian,HOU,HOU,Ching,Brian,F,HOU,220000.0,220000.0,2007-08-31
18,Andy Dorman,NE,M,30.0,27.0,2269.0,7.0,2.0,48.0,27.0,2.0,4.0,3.0,0.28,14.6,2007,REG,0.0,1.0,1.0,0.08,56.3,28.0,18.0,4.0,5.0,0.0,0.0,0.0,Dorman,Andy,NE,NE,Dorman,Andy,M,NE,30870.0,30870.0,2007-08-31
19,Nate Jaqua,HOU,F,25.0,19.0,1772.0,7.0,2.0,49.0,19.0,1.0,6.0,1.0,0.36,14.3,2007,REG,0.0,1.0,1.0,0.1,38.8,34.0,29.0,8.0,6.0,0.0,0.0,0.0,Jaqua,Nate,HOU,HOU,Jaqua,Nate,F,HOU,112500.0,119525.0,2007-08-31
20,Chad Barrett,CHI,F,30.0,25.0,1983.0,7.0,2.0,59.0,37.0,2.0,5.0,2.0,0.32,11.9,2007,REG,0.0,2.0,0.0,0.09,62.7,21.0,22.0,37.0,3.0,0.0,1.0,1.0,Barrett,Chad,CHI,CHI,Barrett,Chad,F,CHI,41212.5,48712.5,2007-08-31
21,Carlos Ruiz,DAL,F,22.0,19.0,1721.0,7.0,2.0,59.0,25.0,0.0,2.0,5.0,0.37,11.9,2007,REG,0.0,0.0,2.0,0.1,42.4,46.0,41.0,23.0,9.0,1.0,1.0,1.0,Ruiz,Carlos,DAL,DAL,Ruiz,Carlos,F,DAL,325000.0,435000.0,2007-08-31
23,Chris Rolfe,CHI,F,19.0,18.0,1451.0,6.0,3.0,38.0,19.0,2.0,2.0,4.0,0.37,15.8,2007,REG,1.0,2.0,1.0,0.19,50.0,13.0,22.0,4.0,1.0,0.0,1.0,1.0,Rolfe,Chris,CHI,CHI,Rolfe,Chris,F,CHI,70000.0,74700.0,2007-08-31
24,Clint Mathis,NY,M,26.0,19.0,1722.0,6.0,2.0,47.0,22.0,0.0,4.0,2.0,0.31,12.8,2007,REG,1.0,2.0,0.0,0.1,46.8,16.0,15.0,5.0,2.0,2.0,0.0,1.0,Mathis,Clint,NY,NY,Mathis,Clint,M-F,NY,270000.0,410000.0,2007-08-31
28,Jovan Kirovski,COL,M-F,28.0,28.0,2161.0,6.0,1.0,36.0,14.0,2.0,4.0,2.0,0.25,16.7,2007,REG,1.0,1.0,0.0,0.04,38.9,38.0,19.0,16.0,3.0,0.0,4.0,4.0,Kirovski,Jovan,COL,COL,Kirovski,Jovan,F,COL,200000.0,200000.0,2007-08-31
29,Guillermo Barros Schelotto,CLB,F,22.0,19.0,1605.0,5.0,11.0,39.0,18.0,3.0,3.0,2.0,0.28,12.8,2007,REG,1.0,3.0,8.0,0.62,46.2,23.0,65.0,20.0,5.0,0.0,1.0,1.0,Barros Schelotto,Guillermo,CLB,CLB,Schelotto,Guillermo Barros,F,CLB,150000.0,150000.0,2007-08-31
30,Eddie Gaven,CLB,M,27.0,21.0,1923.0,5.0,7.0,59.0,33.0,0.0,4.0,1.0,0.23,8.5,2007,REG,1.0,0.0,7.0,0.33,55.9,18.0,50.0,10.0,1.0,0.0,0.0,0.0,Gaven,Eddie,CLB,CLB,Gaven,Eddie,M,CLB,165000.0,188000.0,2007-08-31
31,Stuart Holden,HOU,M,22.0,10.0,1030.0,5.0,5.0,24.0,13.0,3.0,2.0,3.0,0.44,20.8,2007,REG,2.0,3.0,2.0,0.44,54.2,18.0,15.0,1.0,2.0,0.0,0.0,0.0,Holden,Stuart,HOU,HOU,Holden,Stuart,M,HOU,31500.0,31500.0,2007-08-31
32,Abe Thompson,DAL,F,24.0,15.0,1227.0,5.0,4.0,19.0,11.0,2.0,2.0,3.0,0.37,26.3,2007,REG,1.0,1.0,3.0,0.29,57.9,14.0,10.0,13.0,2.0,0.0,2.0,2.0,Thompson,Abe,DAL,DAL,Thompson,Abe,F,DAL,30000.0,30000.0,2007-08-31
33,Edson Buddle,LA,F,26.0,15.0,1251.0,5.0,2.0,47.0,23.0,2.0,4.0,1.0,0.36,10.6,2007,REG,1.0,2.0,0.0,0.14,48.9,29.0,21.0,19.0,3.0,0.0,0.0,0.0,Buddle,Edson,LA,LA,Buddle,Edson,F,LA,140000.0,150000.0,2007-08-31
34,Chris Brown,RSL,M-F,22.0,12.0,1083.0,5.0,0.0,23.0,13.0,0.0,2.0,3.0,0.42,21.7,2007,REG,0.0,0.0,0.0,0.0,56.5,9.0,12.0,4.0,0.0,0.0,0.0,0.0,Brown,Chris,RSL,RSL,Brown,Chris,M-F,RSL,70000.0,70000.0,2007-08-31
35,Yura Movsisyan,RSL,F,23.0,9.0,993.0,5.0,0.0,42.0,13.0,1.0,2.0,3.0,0.45,11.9,2007,REG,0.0,0.0,0.0,0.0,31.0,25.0,24.0,4.0,1.0,1.0,0.0,0.0,Movsisyan,Yura,RSL,KC,Movsisyan,Yura,F,KC,35750.0,45750.0,2007-08-31
36,Steve Ralston,NE,M,26.0,26.0,2337.0,4.0,14.0,33.0,18.0,2.0,4.0,0.0,0.15,12.1,2007,REG,2.0,9.0,5.0,0.54,54.5,16.0,29.0,3.0,1.0,0.0,0.0,0.0,Ralston,Steve,NE,NE,Ralston,Steve,M,NE,150000.0,150000.0,2007-08-31
37,Sacha Kljestan,OCS,M,25.0,25.0,2186.0,4.0,13.0,40.0,21.0,0.0,1.0,3.0,0.16,10.0,2007,REG,3.0,8.0,5.0,0.54,52.5,45.0,34.0,2.0,5.0,0.0,1.0,1.0,Kljestan,Sacha,ORL,CHV,Kljestan,Sacha,M,CHV,70000.0,103000.0,2007-08-31
38,Davy Arnaud,KC,M,28.0,28.0,2489.0,4.0,9.0,74.0,29.0,0.0,1.0,3.0,0.14,5.4,2007,REG,2.0,4.0,5.0,0.33,39.2,46.0,63.0,9.0,6.0,1.0,0.0,0.0,Arnaud,Davy,KC,KC,Arnaud,Davy,M,KC,100000.0,101875.0,2007-08-31
39,Cuauhtemoc Blanco,CHI,M,14.0,14.0,1233.0,4.0,7.0,26.0,14.0,2.0,2.0,2.0,0.29,15.4,2007,REG,2.0,4.0,3.0,0.51,53.8,8.0,61.0,7.0,3.0,0.0,1.0,2.0,Blanco,Cuauhtemoc,CHI,CHI,Blanco,Cuauhtemoc,F,CHI,2492316.0,2666778.0,2007-08-31
40,Cobi Jones,LA,M,25.0,19.0,1679.0,4.0,5.0,19.0,12.0,1.0,4.0,0.0,0.21,21.1,2007,REG,3.0,4.0,1.0,0.27,63.2,9.0,26.0,7.0,0.0,0.0,0.0,0.0,Jones,Cobi,LA,LA,Jones,Cobi,M,LA,95000.0,95000.0,2007-08-31
41,Shalrie Joseph,NE,M,27.0,27.0,2366.0,4.0,5.0,42.0,14.0,1.0,3.0,1.0,0.15,9.5,2007,REG,4.0,2.0,3.0,0.19,33.3,55.0,52.0,5.0,4.0,1.0,3.0,4.0,Joseph,Shalrie,NE,NE,Joseph,Shalrie,D,NE,170625.0,180625.0,2007-08-31
42,Adam Cristman,NE,F,28.0,14.0,1421.0,4.0,4.0,40.0,16.0,0.0,3.0,1.0,0.25,10.0,2007,REG,1.0,3.0,1.0,0.25,40.0,41.0,51.0,10.0,1.0,0.0,0.0,0.0,Cristman,Adam,NE,NE,Cristman,Adam,F,NE,17700.0,17700.0,2007-08-31
43,Andy Herron,CLB,F,18.0,10.0,794.0,4.0,2.0,19.0,10.0,0.0,2.0,2.0,0.45,21.1,2007,REG,1.0,2.0,0.0,0.23,52.6,17.0,8.0,7.0,2.0,0.0,1.0,1.0,Herron,Andy,CLB,CLB,Herron,Andy,F,CLB,140000.0,148750.0,2007-08-31
44,Kenny Cooper,DAL,F,14.0,12.0,1068.0,4.0,2.0,33.0,16.0,1.0,0.0,4.0,0.34,12.1,2007,REG,0.0,1.0,1.0,0.17,48.5,16.0,19.0,9.0,0.0,0.0,1.0,1.0,Cooper,Kenny,DAL,DAL,Cooper,Kenny,F,DAL,80000.0,83000.0,2007-08-31
46,Maurice Edu,TOR,M,25.0,25.0,2180.0,4.0,1.0,24.0,8.0,1.0,3.0,1.0,0.17,16.7,2007,REG,0.0,1.0,0.0,0.04,33.3,65.0,50.0,1.0,6.0,1.0,0.0,0.0,Edu,Maurice,TOR,TOR,Edu,Maurice,M,TFC,50000.0,132500.0,2007-08-31
47,Gavin Glinton,LA,F,19.0,3.0,711.0,4.0,0.0,19.0,12.0,2.0,1.0,3.0,0.51,21.1,2007,REG,0.0,0.0,0.0,0.0,63.2,7.0,20.0,5.0,0.0,0.0,0.0,0.0,Glinton,Gavin,LA,LA,Glinton,Gavin,F,LA,50000.0,50000.0,2007-08-31
48,Ramon Nunez,CHV,M,21.0,12.0,1248.0,3.0,5.0,43.0,15.0,2.0,3.0,0.0,0.22,7.0,2007,REG,2.0,1.0,4.0,0.36,34.9,7.0,29.0,1.0,1.0,0.0,0.0,0.0,Nunez,Ramon,CHV,CHV,Nunez,Ramon,M,CHV,100000.0,118000.0,2007-08-31
49,Michael Harrington,KC,D,29.0,27.0,2422.0,3.0,4.0,15.0,9.0,0.0,2.0,1.0,0.11,20.0,2007,REG,1.0,2.0,2.0,0.15,60.0,38.0,26.0,7.0,1.0,0.0,0.0,0.0,Harrington,Michael,KC,KC,Harrington,Michael,D,KC,36000.0,53500.0,2007-08-31
50,Jeff Larentowicz,ATL,M,28.0,28.0,2455.0,3.0,4.0,28.0,9.0,1.0,1.0,2.0,0.11,10.7,2007,REG,1.0,3.0,1.0,0.15,32.1,61.0,30.0,0.0,5.0,0.0,0.0,0.0,Larentowicz,Jeff,ATL,NE,Larentowicz,Jeff,M,NE,30000.0,30000.0,2007-08-31
51,Brad Davis,HOU,M,17.0,16.0,1275.0,3.0,3.0,27.0,18.0,0.0,3.0,0.0,0.21,11.1,2007,REG,1.0,1.0,2.0,0.21,66.7,18.0,30.0,2.0,1.0,0.0,1.0,1.0,Davis,Brad,HOU,HOU,Davis,Brad,M,HOU,120000.0,120000.0,2007-08-31
52,Ned Grabavoy,CLB,M,26.0,24.0,2093.0,3.0,3.0,37.0,17.0,0.0,2.0,1.0,0.13,8.1,2007,REG,1.0,1.0,2.0,0.13,45.9,22.0,34.0,2.0,2.0,0.0,0.0,1.0,Grabavoy,Ned,CLB,CLB,Grabavoy,Ned,M,CLB,45050.25,52550.25,2007-08-31
53,Kyle Beckerman,RSL,M,28.0,27.0,2430.0,3.0,3.0,52.0,19.0,0.0,0.0,3.0,0.11,5.8,2007,REG,2.0,2.0,1.0,0.11,36.5,39.0,41.0,2.0,9.0,0.0,0.0,0.0,Beckerman,Kyle,RSL,RSL,Beckerman,Kyle,M,RSL,120000.0,122500.0,2007-08-31
54,Arturo Alvarez,HOU,M,27.0,21.0,1898.0,3.0,3.0,61.0,30.0,0.0,2.0,1.0,0.14,4.9,2007,REG,1.0,1.0,2.0,0.14,49.2,35.0,34.0,5.0,2.0,0.0,0.0,0.0,Alvarez,Arturo,HOU,DAL,Alvarez,Arturo,M,DAL,32819.0,46019.0,2007-08-31
55,Kerry Zavagnin,KC,M,29.0,29.0,2564.0,3.0,2.0,16.0,5.0,0.0,2.0,1.0,0.11,18.8,2007,REG,0.0,1.0,1.0,0.07,31.3,35.0,42.0,0.0,6.0,0.0,0.0,0.0,Zavagnin,Kerry,KC,KC,Zavagnin,Kerry,M,KC,154000.0,154000.0,2007-08-31
56,Stefani Miglioranzi,CLB,M,23.0,17.0,1621.0,3.0,2.0,18.0,7.0,1.0,1.0,2.0,0.17,16.7,2007,REG,1.0,1.0,1.0,0.11,38.9,26.0,11.0,1.0,3.0,0.0,0.0,0.0,Miglioranzi,Stefani,CLB,CLB,Miglioranzi,Stefani,M,CLB,70008.0,86258.0,2007-08-31
57,Dominic Oduro,MTL,M,29.0,10.0,1163.0,3.0,2.0,24.0,13.0,1.0,2.0,1.0,0.23,12.5,2007,REG,0.0,0.0,2.0,0.15,54.2,16.0,23.0,17.0,3.0,0.0,0.0,0.0,Oduro,Dominic,MTL,DAL,Oduro,Dominic,F,DAL,30000.0,30000.0,2007-08-31
58,John Wolyniec,NY,F,21.0,13.0,1032.0,3.0,2.0,24.0,7.0,3.0,2.0,1.0,0.26,12.5,2007,REG,1.0,1.0,1.0,0.17,29.2,16.0,27.0,7.0,1.0,0.0,0.0,0.0,Wolyniec,John,NY,NY,Wolyniec,John,F,NY,65625.0,65625.0,2007-08-31
59,Calen Carr,CHI,F,27.0,10.0,1134.0,3.0,2.0,33.0,13.0,0.0,2.0,1.0,0.24,9.1,2007,REG,1.0,1.0,1.0,0.16,39.4,24.0,12.0,4.0,5.0,0.0,0.0,0.0,Carr,Calen,CHI,CHI,Carr,Calen,F,CHI,38000.0,50500.0,2007-08-31
60,Claudio Suarez,CHV,D,25.0,25.0,2153.0,3.0,1.0,14.0,9.0,0.0,1.0,2.0,0.13,21.4,2007,REG,0.0,0.0,1.0,0.04,64.3,31.0,11.0,0.0,6.0,1.0,1.0,1.0,Suarez,Claudio,CHV,CHV,Suarez,Claudio,D,CHV,146991.6,146991.6,2007-08-31
61,Robbie Rogers,CLB,D,10.0,6.0,597.0,3.0,1.0,15.0,6.0,1.0,0.0,3.0,0.45,20.0,2007,REG,0.0,0.0,1.0,0.15,40.0,10.0,12.0,5.0,0.0,0.0,0.0,0.0,Rogers,Robbie,CLB,CLB,Rogers,Robbie,F-M,CLB,50000.0,50000.0,2007-08-31
62,John Cunliffe,CHV,F,15.0,5.0,494.0,3.0,1.0,16.0,8.0,0.0,0.0,3.0,0.55,18.8,2007,REG,0.0,1.0,0.0,0.18,50.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,Cunliffe,John,CHV,CHV,Cunliffe,John,F,CHV,30000.0,45000.0,2007-08-31
63,Carey Talley,RSL,D,26.0,25.0,2195.0,3.0,1.0,28.0,9.0,0.0,2.0,1.0,0.12,10.7,2007,REG,1.0,0.0,1.0,0.04,32.1,38.0,38.0,2.0,6.0,0.0,2.0,2.0,Talley,Carey,RSL,RSL,Talley,Carey,D,RSL,118248.0,118248.0,2007-08-31
64,Kyle Martino,LA,M,26.0,25.0,1928.0,3.0,1.0,29.0,10.0,1.0,2.0,1.0,0.14,10.3,2007,REG,1.0,1.0,0.0,0.05,34.5,36.0,43.0,9.0,6.0,2.0,0.0,1.0,Martino,Kyle,LA,LA,Martino,Kyle,M,LA,52500.0,55297.27,2007-08-31
66,Alan Gordon,LA,F,14.0,11.0,828.0,3.0,0.0,19.0,8.0,0.0,3.0,0.0,0.33,15.8,2007,REG,0.0,0.0,0.0,0.0,42.1,22.0,17.0,11.0,1.0,0.0,0.0,0.0,Gordon,Alan,LA,LA,Gordon,Alan,F,LA,30870.0,30870.0,2007-08-31
67,Carlos Pavon,LA,F,18.0,10.0,978.0,3.0,0.0,29.0,10.0,0.0,0.0,3.0,0.28,10.3,2007,REG,0.0,0.0,0.0,0.0,34.5,6.0,21.0,24.0,0.0,0.0,0.0,0.0,Pavon,Carlos,LA,LA,Pavon,Carlos,F,LA,132000.0,141500.0,2007-08-31
68,Collin Samuel,TOR,F,18.0,18.0,1510.0,3.0,0.0,41.0,24.0,1.0,1.0,2.0,0.18,7.3,2007,REG,0.0,0.0,0.0,0.0,58.5,29.0,34.0,9.0,2.0,0.0,1.0,1.0,Samuel,Collin,TOR,TOR,Samuel,Collin,F,TFC,90000.0,115000.0,2007-08-31
70,Sasha Victorine,KC,M,29.0,24.0,2135.0,2.0,7.0,37.0,13.0,0.0,1.0,1.0,0.08,5.4,2007,REG,2.0,4.0,3.0,0.3,35.1,27.0,37.0,5.0,1.0,0.0,0.0,0.0,Victorine,Sasha,KC,KC,Victorine,Sasha,M,KC,137500.0,140000.0,2007-08-31
71,Dane Richards,NY,M,28.0,27.0,2335.0,2.0,6.0,24.0,14.0,0.0,0.0,2.0,0.08,8.3,2007,REG,3.0,6.0,0.0,0.23,58.3,50.0,35.0,12.0,5.0,0.0,0.0,0.0,Richards,Dane,NY,NY,Richards,Dane,F-M,NY,30000.0,30000.0,2007-08-31
72,Khano Smith,NE,M,29.0,26.0,2210.0,2.0,6.0,36.0,12.0,1.0,2.0,0.0,0.08,5.6,2007,REG,3.0,4.0,2.0,0.24,33.3,42.0,41.0,5.0,4.0,0.0,0.0,0.0,Smith,Khano,NE,NE,Smith,Khano,F,NE,44100.0,44100.0,2007-08-31
73,Carl Robinson,TOR,M,26.0,26.0,2340.0,2.0,4.0,14.0,8.0,0.0,1.0,1.0,0.08,14.3,2007,REG,0.0,4.0,0.0,0.15,57.1,50.0,24.0,0.0,6.0,0.0,0.0,0.0,Robinson,Carl,TOR,TOR,Robinson,Carl,M,TFC,300000.0,315000.0,2007-08-31
74,Jesse Marsch,CHV,M,28.0,28.0,2425.0,2.0,4.0,15.0,6.0,2.0,2.0,0.0,0.07,13.3,2007,REG,1.0,2.0,2.0,0.15,40.0,44.0,31.0,0.0,9.0,0.0,0.0,0.0,Marsch,Jesse,CHV,CHV,Marsch,Jesse,M,CHV,100000.0,109375.0,2007-08-31
76,Francisco Mendoza,CHV,M,28.0,27.0,2459.0,2.0,4.0,36.0,16.0,0.0,1.0,1.0,0.07,5.6,2007,REG,0.0,2.0,2.0,0.15,44.4,31.0,46.0,10.0,3.0,0.0,0.0,0.0,Mendoza,Francisco,CHV,CHV,Mendoza,Francisco,M,CHV,90000.0,93750.0,2007-08-31
77,Chris Klein,LA,M,32.0,32.0,2880.0,2.0,4.0,40.0,16.0,1.0,2.0,0.0,0.06,5.0,2007,REG,1.0,4.0,0.0,0.13,40.0,23.0,20.0,8.0,1.0,0.0,0.0,0.0,Klein,Chris,LA,LA,Klein,Chris,M,LA,180000.0,187250.0,2007-08-31
78,Conor Casey,COL,F,17.0,11.0,1033.0,2.0,3.0,12.0,5.0,1.0,1.0,1.0,0.17,16.7,2007,REG,1.0,1.0,2.0,0.26,41.7,25.0,16.0,9.0,3.0,0.0,0.0,0.0,Casey,Conor,COL,COL,Casey,Conor,F,COL,180000.0,180000.0,2007-08-31
79,Jack Jewsbury,KC,M,28.0,27.0,2316.0,2.0,3.0,25.0,6.0,0.0,0.0,2.0,0.08,8.0,2007,REG,0.0,0.0,3.0,0.12,24.0,22.0,34.0,1.0,5.0,0.0,0.0,0.0,Jewsbury,Jack,KC,KC,Jewsbury,Jack,M-F,KC,50000.0,50000.0,2007-08-31
80,Ricardo Clark,HOU,M,19.0,18.0,1635.0,2.0,3.0,28.0,11.0,0.0,1.0,1.0,0.11,7.1,2007,REG,3.0,1.0,2.0,0.17,39.3,29.0,22.0,3.0,2.0,1.0,0.0,0.0,Clark,Ricardo,HOU,HOU,Clark,Ricardo,M,HOU,195000.0,195000.0,2007-08-31
81,Alecko Eskandarian,RSL,F,23.0,23.0,1913.0,2.0,3.0,58.0,30.0,0.0,2.0,0.0,0.09,3.4,2007,REG,2.0,2.0,1.0,0.14,51.7,46.0,50.0,16.0,9.0,1.0,1.0,2.0,Eskandarian,Alecko,RSL,RSL,Eskandarian,Alecko,F,RSL,155000.0,175500.0,2007-08-31
82,Eddie Robinson,HOU,D,25.0,25.0,2187.0,2.0,2.0,10.0,5.0,0.0,1.0,1.0,0.08,20.0,2007,REG,0.0,0.0,2.0,0.08,50.0,70.0,64.0,0.0,11.0,1.0,0.0,0.0,Robinson,Eddie,HOU,HOU,Robinson,Eddie,D,HOU,110000.0,110000.0,2007-08-31
84,Paulo Nagamura,CHV,M,26.0,24.0,2172.0,2.0,2.0,19.0,8.0,2.0,0.0,2.0,0.08,10.5,2007,REG,0.0,1.0,1.0,0.08,42.1,46.0,44.0,1.0,8.0,0.0,0.0,0.0,Nagamura,Paulo,CHV,CHV,Nagamura,Paulo,M,CHV,89250.0,89250.0,2007-08-31
85,Colin Clark,COL,M,16.0,16.0,1321.0,2.0,2.0,26.0,5.0,0.0,2.0,0.0,0.14,7.7,2007,REG,0.0,1.0,1.0,0.14,19.2,24.0,24.0,3.0,2.0,0.0,0.0,0.0,Clark,Colin,COL,COL,Clark,Colin,F,COL,17700.0,17700.0,2007-08-31
86,Francis Doe,NY,F,8.0,4.0,428.0,2.0,1.0,17.0,7.0,0.0,2.0,0.0,0.42,11.8,2007,REG,0.0,1.0,0.0,0.21,41.2,8.0,4.0,15.0,1.0,0.0,0.0,0.0,Doe,Francis,NY,NY,Doe,Francis,F,NY,48000.0,48000.0,2007-08-31
87,Dema Kovalenko,NY,M,19.0,15.0,1377.0,2.0,1.0,21.0,7.0,0.0,0.0,2.0,0.13,9.5,2007,REG,0.0,0.0,1.0,0.07,33.3,29.0,22.0,3.0,5.0,0.0,0.0,0.0,Kovalenko,Dema,NY,NY,Kovalenko,Dema,M,NY,190000.0,197375.0,2007-08-31
88,Troy Roberts,LA,D,16.0,12.0,1140.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.16,50.0,2007,REG,0.0,0.0,0.0,0.0,50.0,25.0,11.0,1.0,3.0,1.0,0.0,0.0,Roberts,Troy,LA,LA,Roberts,Troy,D,LA,30000.0,30000.0,2007-08-31
89,Drew Moor,TOR,D,28.0,28.0,2495.0,2.0,0.0,7.0,3.0,1.0,2.0,0.0,0.07,28.6,2007,REG,0.0,0.0,0.0,0.0,42.9,17.0,30.0,1.0,3.0,0.0,0.0,0.0,Moor,Drew,TOR,DAL,Moor,Drew,D,DAL,53350.0,65850.0,2007-08-31
90,Kyle Brown,RSL,F,8.0,3.0,286.0,2.0,0.0,7.0,4.0,1.0,1.0,1.0,0.63,28.6,2007,REG,0.0,0.0,0.0,0.0,57.1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,Brown,Kyle,RSL,RSL,Brown,Kyle,F,RSL,17700.0,17700.0,2007-08-31
91,Chad Marshall,SEA,D,12.0,11.0,1020.0,2.0,0.0,8.0,3.0,0.0,0.0,2.0,0.18,25.0,2007,REG,0.0,0.0,0.0,0.0,37.5,7.0,6.0,0.0,0.0,0.0,0.0,0.0,Marshall,Chad,SEA,CLB,Marshall,Chad,D,CLB,100000.0,123000.0,2007-08-31
92,Omar Cummings,COL,F,11.0,0.0,182.0,2.0,0.0,10.0,6.0,1.0,1.0,1.0,0.99,20.0,2007,REG,0.0,0.0,0.0,0.0,60.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,Cummings,Omar,COL,COL,Cummings,Omar,F,COL,30000.0,30000.0,2007-08-31
