,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
189,Ricardinho,DAL,F,8.0,3.0,279.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,0.0,1.0,0.32,40.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,,Ricardinho,DAL,,,,,,,,
194,Thiago,CHI,M,13.0,5.0,568.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,0.16,30.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,,Thiago,CHI,,,,,,,,
205,Yherland McDonald,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald,Yherland,COL,,,,,,,,
206,Tim Regan,NY,D,3.0,2.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Regan,Tim,NY,,,,,,,,
207,Rich Asante,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asante,Rich,TOR,,,,,,,,
214,Joey Worthen,RSL,F-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Worthen,Joey,RSL,,,,,,,,
215,Julian Nash,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nash,Julian,HOU,,,,,,,,
219,John Michael Hayden,HOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Hayden,John,HOU,,,,,,,,
224,Tommy Krizanovic,DAL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Krizanovic,Tommy,DAL,,,,,,,,
227,Mike Sambursky,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sambursky,Mike,HOU,,,,,,,,
229,Aaron Chandler,CLB,M-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandler,Aaron,CLB,,,,,,,,
234,John Wilson,DC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wilson,John,DC,,,,,,,,
238,Kiki Willis,DC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Willis,Kiki,DC,,,,,,,,
241,A.J. Godbolt,KC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Godbolt,A.J.,KC,,,,,,,,
244,Matt Groenwald,KC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groenwald,Matt,KC,,,,,,,,
248,Hugh MacDonald,NY,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MacDonald,Hugh,NY,,,,,,,,
260,Joe Franchino,NE,M,3.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Franchino,Joe,NE,,,,,,,,
264,Erik Hort,CHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hort,Erik,CHI,,,,,,,,
268,Luis Tejada,PAN,F,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Tejada,Luis,UNK,,,,,,,,
269,Ian Russell,LA,D,3.0,3.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Russell,Ian,LA,,,,,,,,
272,Tony Lochhead,NE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lochhead,Tony,NE,,,,,,,,
273,Sainey Nyassi,NE,M,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nyassi,Sainey,NE,,,,,,,,
274,Chase Wileman,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wileman,Chase,DAL,,,,,,,,
275,Leonard Griffin,CLB,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Griffin,Leonard,CLB,,,,,,,,
278,Abdoulie Mansally,NE,D,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Mansally,Abdoulie,NE,,,,,,,,
279,Daniel Hernandez,NE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hernandez,Daniel,NE,,,,,,,,
280,Sebastian Botero,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botero,Sebastian,DAL,,,,,,,,
282,A.J. Gray,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gray,A.J.,TOR,,,,,,,,
285,Andrei Pacheco,CLB,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pacheco,Andrei,CLB,,,,,,,,
292,Nana Attakora,TOR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Attakora,Nana,TOR,,,,,,,,
298,Jeff Rowland,RSL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rowland,Jeff,RSL,,,,,,,,
307,Carlos Borja,CHV,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Borja,Carlos,CHV,,,,,,,,
308,Jorge Barrera,CHV,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barrera,Jorge,CHV,,,,,,,,
309,Mohammed Sethi,CHV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sethi,Mohammed,CHV,,,,,,,,
311,Abbe Ibrahim,TOR,F,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Ibrahim,Abbe,TOR,,,,,,,,
312,Jorge Villafaña,USA,D-M,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Villafaña,Jorge,UNK,,,,,,,,
313,Bruno Menezes,CHI,M,3.0,2.0,208.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Menezes,Bruno,CHI,,,,,,,,
314,Adam Moffat,CLB,M,1.0,1.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moffat,Adam,CLB,,,,,,,,
315,Mike Banner,CHI,M,3.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Banner,Mike,CHI,,,,,,,,
316,Pascal Bedrossian,CHI,F,6.0,2.0,165.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,100.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,Bedrossian,Pascal,CHI,,,,,,,,
328,Stephen deRoux,DC,M-D,6.0,1.0,115.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,50.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,deRoux,Stephen,DC,,,,,,,,
330,Gabe Gala,TOR,M,5.0,3.0,222.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Gala,Gabe,TOR,,,,,,,,
333,Domenic Mediate,DC,M,10.0,2.0,330.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,66.7,12.0,4.0,4.0,1.0,0.0,0.0,0.0,Mediate,Domenic,DC,,,,,,,,
341,Dan Gargan,COL,D,15.0,11.0,1029.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,Gargan,Dan,COL,,,,,,,,
343,Daniel Torres,RSL,D,10.0,9.0,825.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,50.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,Torres,Daniel,RSL,,,,,,,,
360,Amado Guevara,CHV,M,4.0,4.0,326.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,44.4,5.0,3.0,1.0,0.0,0.0,0.0,0.0,Guevara,Amado,CHV,,,,,,,,
365,Jason Kreis,RSL,M,4.0,4.0,358.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,36.4,6.0,9.0,0.0,1.0,0.0,0.0,0.0,Kreis,Jason,RSL,,,,,,,,
368,Stephen Wondolowski,0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wondolowski,Stephen,UNK,,,,,,,,
382,Jeff Cunningham,DAL,F,27.0,18.0,1698.0,8.0,2.0,43.0,20.0,1.0,3.0,5.0,0.42,18.6,2008,REG,0.0,0.0,2.0,0.11,46.5,10.0,21.0,39.0,4.0,0.0,0.0,0.0,Cunningham,Jeff,DAL,,,,,,,,
385,Dave van den Bergh,NY,M,26.0,25.0,2228.0,7.0,5.0,36.0,19.0,2.0,3.0,4.0,0.28,19.4,2008,REG,2.0,3.0,2.0,0.2,52.8,16.0,23.0,1.0,3.0,1.0,0.0,0.0,van den Bergh,Dave,NY,,,,,,,,
387,Dwayne De Rosario,HOU,M,24.0,22.0,1948.0,7.0,2.0,78.0,34.0,1.0,4.0,3.0,0.32,9.0,2008,REG,1.0,1.0,1.0,0.09,43.6,25.0,34.0,35.0,6.0,0.0,2.0,2.0,De Rosario,Dwayne,HOU,,,,,,,,
392,Robbie Findley,RSL,F,29.0,15.0,1493.0,6.0,5.0,44.0,18.0,2.0,5.0,1.0,0.36,13.6,2008,REG,1.0,2.0,3.0,0.3,40.9,16.0,27.0,13.0,2.0,0.0,0.0,0.0,Findley,Robbie,RSL,,,,,,,,
403,Danny Dichio,TOR,F,23.0,17.0,1445.0,5.0,3.0,20.0,10.0,1.0,2.0,3.0,0.31,25.0,2008,REG,0.0,1.0,2.0,0.19,50.0,35.0,30.0,26.0,4.0,0.0,0.0,0.0,Dichio,Danny,TOR,,,,,,,,
418,Kheli Dube,NE,F,21.0,13.0,1252.0,4.0,4.0,29.0,13.0,2.0,2.0,2.0,0.29,13.8,2008,REG,1.0,2.0,2.0,0.29,44.8,33.0,30.0,8.0,1.0,0.0,0.0,0.0,Dube,Kheli,NE,,,,,,,,
436,Hérculez Gómez,COL,F,25.0,12.0,1238.0,3.0,3.0,42.0,14.0,1.0,1.0,2.0,0.22,7.1,2008,REG,2.0,3.0,0.0,0.22,33.3,18.0,41.0,6.0,1.0,0.0,0.0,0.0,Gómez,Hérculez,COL,,,,,,,,
441,Jozy Altidore,TOR,F,8.0,7.0,665.0,3.0,1.0,13.0,8.0,0.0,3.0,0.0,0.41,23.1,2008,REG,0.0,1.0,0.0,0.14,61.5,18.0,15.0,4.0,0.0,0.0,0.0,0.0,Altidore,Jozy,TOR,,,,,,,,
444,Jorge Villafaña,USA,D-M,11.0,6.0,590.0,3.0,0.0,4.0,3.0,2.0,2.0,1.0,0.46,75.0,2008,REG,0.0,0.0,0.0,0.0,75.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,Villafaña,Jorge,UNK,,,,,,,,
447,Fred,DC,M,23.0,20.0,1690.0,2.0,4.0,29.0,12.0,1.0,0.0,2.0,0.11,6.9,2008,REG,0.0,3.0,1.0,0.21,41.4,50.0,26.0,9.0,4.0,0.0,0.0,0.0,,Fred,DC,,,,,,,,
457,Juan Toja,DAL,M,16.0,15.0,1283.0,2.0,2.0,21.0,13.0,0.0,2.0,0.0,0.14,9.5,2008,REG,0.0,0.0,2.0,0.14,61.9,32.0,23.0,4.0,3.0,0.0,0.0,0.0,Toja,Juan,DAL,,,,,,,,
462,Franco Caraccio,HOU,F,10.0,8.0,602.0,2.0,1.0,13.0,6.0,0.0,1.0,1.0,0.3,15.4,2008,REG,0.0,0.0,1.0,0.15,46.2,10.0,6.0,6.0,1.0,0.0,0.0,0.0,Caraccio,Franco,HOU,,,,,,,,
472,Jámison Olave,RSL,D,23.0,23.0,2006.0,2.0,0.0,10.0,4.0,0.0,2.0,0.0,0.09,20.0,2008,REG,0.0,0.0,0.0,0.0,40.0,33.0,17.0,0.0,9.0,0.0,0.0,0.0,Olave,Jámison,RSL,,,,,,,,
489,Laurent Robert,TOR,M,17.0,16.0,1364.0,1.0,3.0,31.0,14.0,1.0,1.0,0.0,0.07,3.2,2008,REG,1.0,1.0,2.0,0.2,45.2,8.0,20.0,1.0,4.0,1.0,0.0,0.0,Robert,Laurent,TOR,,,,,,,,
501,Dejair,CHV,M,3.0,1.0,128.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,0.7,25.0,2008,REG,1.0,0.0,1.0,0.7,50.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,Dejair,CHV,,,,,,,,
508,Jose Burciaga Jr.,COL,D,12.0,9.0,818.0,1.0,1.0,10.0,5.0,0.0,0.0,1.0,0.11,10.0,2008,REG,1.0,0.0,1.0,0.11,50.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,Burciaga Jr.,Jose,COL,,,,,,,,
511,Bobby Boswell,HOU,D,29.0,29.0,2610.0,1.0,1.0,15.0,3.0,1.0,0.0,1.0,0.03,6.7,2008,REG,0.0,1.0,0.0,0.03,20.0,40.0,11.0,0.0,6.0,0.0,0.0,0.0,Boswell,Bobby,HOU,,,,,,,,
513,Maurice Edu,TOR,M,13.0,12.0,1104.0,1.0,1.0,17.0,5.0,0.0,0.0,1.0,0.08,5.9,2008,REG,0.0,0.0,1.0,0.08,29.4,22.0,21.0,2.0,5.0,0.0,0.0,0.0,Edu,Maurice,TOR,,,,,,,,
520,Matthew Mbuta,NY,M,2.0,1.0,86.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.05,25.0,2008,REG,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Mbuta,Matthew,NY,,,,,,,,
550,Mike Randolph,LA,D,20.0,15.0,1468.0,0.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,2.0,1.0,0.18,46.2,19.0,19.0,2.0,2.0,0.0,0.0,0.0,Randolph,Mike,LA,,,,,,,,
561,Rafael Gomes,COL,D,7.0,2.0,282.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,REG,1.0,1.0,0.0,0.32,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Gomes,Rafael,COL,,,,,,,,
565,Abel Xavier,LA,D,10.0,9.0,854.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,1.0,0.0,0.11,100.0,13.0,3.0,0.0,2.0,1.0,0.0,0.0,Xavier,Abel,LA,,,,,,,,
