,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,Year,Season,GWA,HmA,RdA,A/90min,SOG%,FC,FS,OFF,YC,RC,Club_Dup,Last Name,First Name,POS_Dup,Base Salary,Guaranteed Compensation,Date
10,Fred,DC ,M,26,23,2096,7,8,28,14,3,0/0,4,3,0.30,25.0,2007,REG,3,6,2,0.34,50.0,45,40,21,5,1,,,,,,,
11,Ben Olsen,DC ,M,24,21,1881,7,7,29,17,3,0/0,5,2,0.33,24.1,2007,REG,2,6,1,0.33,58.6,49,41,11,8,0,DC,Olsen,Ben,M,"$155,000.00","$177,500.00",2007-08-31
12,Alejandro Moreno,CLB,F,29,27,2357,7,7,54,32,1,0/0,2,5,0.27,13.0,2007,REG,1,4,3,0.27,59.3,54,93,32,3,0,CLB,Moreno,Alejandro,F,"$120,000.00","$125,000.00",2007-08-31
13,Jaime Moreno,DC ,F,21,15,1439,7,6,34,18,2,4/4,5,2,0.44,20.6,2007,REG,1,5,1,0.38,52.9,24,30,15,3,0,DC,Moreno,Jaime,F,"$250,000.00","$275,000.00",2007-08-31
14,Joseph Ngwenya,CLB,F,30,30,2362,7,4,40,23,2,0/0,5,2,0.27,17.5,2007,REG,0,3,1,0.15,57.5,26,60,55,4,0,HOU,Ngwenya,Joseph,F,"$51,148.13","$62,023.13",2007-08-31
15,Pat Noonan,NE ,F,27,21,1736,7,4,42,24,1,0/0,6,1,0.36,16.7,2007,REG,1,3,1,0.21,57.1,12,41,32,2,0,NE,Noonan,Pat,F,"$225,000.00","$227,500.00",2007-08-31
16,Scott Sealy,KC ,F,18,15,1193,7,2,33,20,2,0/0,4,3,0.53,21.2,2007,REG,0,0,2,0.15,60.6,7,30,23,1,0,KC,Sealy,Scott,F,"$33,075.00","$33,075.00",2007-08-31
17,Brian Ching,HOU,F,20,17,1590,7,2,48,18,3,0/0,4,3,0.40,14.6,2007,REG,0,0,2,0.11,37.5,31,46,15,1,0,HOU,Ching,Brian,F,"$220,000.00","$220,000.00",2007-08-31
18,Andy Dorman,NE ,M,30,27,2269,7,2,48,27,2,0/0,4,3,0.28,14.6,2007,REG,0,1,1,0.08,56.3,28,18,4,5,0,NE,Dorman,Andy,M,"$30,870.00","$30,870.00",2007-08-31
19,Nate Jaqua,HOU,F,25,19,1772,7,2,49,19,1,0/0,6,1,0.36,14.3,2007,REG,0,1,1,0.10,38.8,34,29,8,6,0,HOU,Jaqua,Nate,F,"$112,500.00","$119,525.00",2007-08-31
20,Chad Barrett,CHI,F,30,25,1983,7,2,59,37,2,1/1,5,2,0.32,11.9,2007,REG,0,2,0,0.09,62.7,21,22,37,3,0,CHI,Barrett,Chad,F,"$41,212.50","$48,712.50",2007-08-31
21,Carlos Ruiz,DAL,F,22,19,1721,7,2,59,25,0,1/1,2,5,0.37,11.9,2007,REG,0,0,2,0.10,42.4,46,41,23,9,1,DAL,Ruiz,Carlos,F,"$325,000.00","$435,000.00",2007-08-31
22,Dwayne De Rosario,HOU,M,24,22,1973,6,4,62,24,3,1/2,0,6,0.27,9.7,2007,REG,1,3,1,0.18,38.7,29,32,19,5,0,,,,,,,
23,Chris Rolfe,CHI,F,19,18,1451,6,3,38,19,2,1/1,2,4,0.37,15.8,2007,REG,1,2,1,0.19,50.0,13,22,4,1,0,CHI,Rolfe,Chris,F,"$70,000.00","$74,700.00",2007-08-31
24,Clint Mathis,NY ,M,26,19,1722,6,2,47,22,0,0/1,4,2,0.31,12.8,2007,REG,1,2,0,0.10,46.8,16,15,5,2,2,NY,Mathis,Clint,M-F,"$270,000.00","$410,000.00",2007-08-31
25,Danny Dichio,TOR,F,17,14,1175,6,1,20,13,0,0/0,4,2,0.46,30.0,2007,REG,0,0,1,0.08,65.0,46,38,6,3,1,,,,,,,
26,Jeff Cunningham,RSL,F,23,20,1636,6,1,32,21,0,1/1,5,1,0.33,18.8,2007,REG,0,0,1,0.06,65.6,8,21,33,3,0,,,,,,,
27,Juan Toja,DAL,M,27,27,2388,6,1,33,16,3,0/0,1,5,0.23,18.2,2007,REG,0,1,0,0.04,48.5,83,41,6,4,0,,,,,,,
28,Jovan Kirovski,COL,M-F,28,28,2161,6,1,36,14,2,4/4,4,2,0.25,16.7,2007,REG,1,1,0,0.04,38.9,38,19,16,3,0,COL,Kirovski,Jovan,F,"$200,000.00","$200,000.00",2007-08-31
29,Guillermo Barros Schelotto,CLB,F,22,19,1605,5,11,39,18,3,1/1,3,2,0.28,12.8,2007,REG,1,3,8,0.62,46.2,23,65,20,5,0,CLB,Schelotto,Guillermo Barros,F,"$150,000.00","$150,000.00",2007-08-31
30,Eddie Gaven,CLB,M,27,21,1923,5,7,59,33,0,0/0,4,1,0.23,8.5,2007,REG,1,0,7,0.33,55.9,18,50,10,1,0,CLB,Gaven,Eddie,M,"$165,000.00","$188,000.00",2007-08-31
31,Stuart Holden,HOU,M,22,10,1030,5,5,24,13,3,0/0,2,3,0.44,20.8,2007,REG,2,3,2,0.44,54.2,18,15,1,2,0,HOU,Holden,Stuart,M,"$31,500.00","$31,500.00",2007-08-31
32,Abe Thompson,DAL,F,24,15,1227,5,4,19,11,2,2/2,2,3,0.37,26.3,2007,REG,1,1,3,0.29,57.9,14,10,13,2,0,DAL,Thompson,Abe,F,"$30,000.00","$30,000.00",2007-08-31
33,Edson Buddle,LA ,F,26,15,1251,5,2,47,23,2,0/0,4,1,0.36,10.6,2007,REG,1,2,0,0.14,48.9,29,21,19,3,0,LA,Buddle,Edson,F,"$140,000.00","$150,000.00",2007-08-31
34,Chris Brown,RSL,M-F,22,12,1083,5,0,23,13,0,0/0,2,3,0.42,21.7,2007,REG,0,0,0,0.00,56.5,9,12,4,0,0,RSL,Brown,Chris,M-F,"$70,000.00","$70,000.00",2007-08-31
35,Yura Movsisyan,RSL,F,23,9,993,5,0,42,13,1,0/0,2,3,0.45,11.9,2007,REG,0,0,0,0.00,31.0,25,24,4,1,1,KC,Movsisyan,Yura,F,"$35,750.00","$45,750.00",2007-08-31
36,Steve Ralston,NE ,M,26,26,2337,4,14,33,18,2,0/0,4,0,0.15,12.1,2007,REG,2,9,5,0.54,54.5,16,29,3,1,0,NE,Ralston,Steve,M,"$150,000.00","$150,000.00",2007-08-31
37,Sacha Kljestan,OCS,M,25,25,2186,4,13,40,21,0,1/1,1,3,0.16,10.0,2007,REG,3,8,5,0.54,52.5,45,34,2,5,0,CHV,Kljestan,Sacha,M,"$70,000.00","$103,000.00",2007-08-31
38,Davy Arnaud,KC ,M,28,28,2489,4,9,74,29,0,0/0,1,3,0.14,5.4,2007,REG,2,4,5,0.33,39.2,46,63,9,6,1,KC,Arnaud,Davy,M,"$100,000.00","$101,875.00",2007-08-31
39,Cuauhtemoc Blanco,CHI,M,14,14,1233,4,7,26,14,2,1/2,2,2,0.29,15.4,2007,REG,2,4,3,0.51,53.8,8,61,7,3,0,CHI,Blanco,Cuauhtemoc,F,"$2,492,316.00","$2,666,778.00",2007-08-31
40,Cobi Jones,LA ,M,25,19,1679,4,5,19,12,1,0/0,4,0,0.21,21.1,2007,REG,3,4,1,0.27,63.2,9,26,7,0,0,LA,Jones,Cobi,M,"$95,000.00","$95,000.00",2007-08-31
41,Shalrie Joseph,NE ,M,27,27,2366,4,5,42,14,1,3/4,3,1,0.15,9.5,2007,REG,4,2,3,0.19,33.3,55,52,5,4,1,NE,Joseph,Shalrie,D,"$170,625.00","$180,625.00",2007-08-31
42,Adam Cristman,NE ,F,28,14,1421,4,4,40,16,0,0/0,3,1,0.25,10.0,2007,REG,1,3,1,0.25,40.0,41,51,10,1,0,NE,Cristman,Adam,F,"$17,700.00","$17,700.00",2007-08-31
43,Andy Herron,CLB,F,18,10,794,4,2,19,10,0,1/1,2,2,0.45,21.1,2007,REG,1,2,0,0.23,52.6,17,8,7,2,0,CLB,Herron,Andy,F,"$140,000.00","$148,750.00",2007-08-31
44,Kenny Cooper,DAL,F,14,12,1068,4,2,33,16,1,1/1,0,4,0.34,12.1,2007,REG,0,1,1,0.17,48.5,16,19,9,0,0,DAL,Cooper,Kenny,F,"$80,000.00","$83,000.00",2007-08-31
45,Hérculez Gómez,COL,F,20,16,1537,4,2,51,22,1,0/0,3,1,0.23,7.8,2007,REG,1,0,2,0.12,43.1,38,46,17,6,0,,,,,,,
46,Maurice Edu,TOR,M,25,25,2180,4,1,24,8,1,0/0,3,1,0.17,16.7,2007,REG,0,1,0,0.04,33.3,65,50,1,6,1,TFC,Edu,Maurice,M,"$50,000.00","$132,500.00",2007-08-31
47,Gavin Glinton,LA ,F,19,3,711,4,0,19,12,2,0/0,1,3,0.51,21.1,2007,REG,0,0,0,0.00,63.2,7,20,5,0,0,LA,Glinton,Gavin,F,"$50,000.00","$50,000.00",2007-08-31
48,Ramon Nunez,CHV,M,21,12,1248,3,5,43,15,2,0/0,3,0,0.22,7.0,2007,REG,2,1,4,0.36,34.9,7,29,1,1,0,CHV,Nunez,Ramon,M,"$100,000.00","$118,000.00",2007-08-31
49,Michael Harrington,KC ,D,29,27,2422,3,4,15,9,0,0/0,2,1,0.11,20.0,2007,REG,1,2,2,0.15,60.0,38,26,7,1,0,KC,Harrington,Michael,D,"$36,000.00","$53,500.00",2007-08-31
50,Jeff Larentowicz,ATL,M,28,28,2455,3,4,28,9,1,0/0,1,2,0.11,10.7,2007,REG,1,3,1,0.15,32.1,61,30,0,5,0,NE,Larentowicz,Jeff,M,"$30,000.00","$30,000.00",2007-08-31
51,Brad Davis,HOU,M,17,16,1275,3,3,27,18,0,1/1,3,0,0.21,11.1,2007,REG,1,1,2,0.21,66.7,18,30,2,1,0,HOU,Davis,Brad,M,"$120,000.00","$120,000.00",2007-08-31
52,Ned Grabavoy,CLB,M,26,24,2093,3,3,37,17,0,0/1,2,1,0.13,8.1,2007,REG,1,1,2,0.13,45.9,22,34,2,2,0,CLB,Grabavoy,Ned,M,"$45,050.25","$52,550.25",2007-08-31
53,Kyle Beckerman,RSL,M,28,27,2430,3,3,52,19,0,0/0,0,3,0.11,5.8,2007,REG,2,2,1,0.11,36.5,39,41,2,9,0,RSL,Beckerman,Kyle,M,"$120,000.00","$122,500.00",2007-08-31
54,Arturo Alvarez,HOU,M,27,21,1898,3,3,61,30,0,0/0,2,1,0.14,4.9,2007,REG,1,1,2,0.14,49.2,35,34,5,2,0,DAL,Alvarez,Arturo,M,"$32,819.00","$46,019.00",2007-08-31
55,Kerry Zavagnin,KC ,M,29,29,2564,3,2,16,5,0,0/0,2,1,0.11,18.8,2007,REG,0,1,1,0.07,31.3,35,42,0,6,0,KC,Zavagnin,Kerry,M,"$154,000.00","$154,000.00",2007-08-31
56,Stefani Miglioranzi,CLB,M,23,17,1621,3,2,18,7,1,0/0,1,2,0.17,16.7,2007,REG,1,1,1,0.11,38.9,26,11,1,3,0,CLB,Miglioranzi,Stefani,M,"$70,008.00","$86,258.00",2007-08-31
57,Dominic Oduro,MTL,M,29,10,1163,3,2,24,13,1,0/0,2,1,0.23,12.5,2007,REG,0,0,2,0.15,54.2,16,23,17,3,0,DAL,Oduro,Dominic,F,"$30,000.00","$30,000.00",2007-08-31
58,John Wolyniec,NY ,F,21,13,1032,3,2,24,7,3,0/0,2,1,0.26,12.5,2007,REG,1,1,1,0.17,29.2,16,27,7,1,0,NY,Wolyniec,John,F,"$65,625.00","$65,625.00",2007-08-31
59,Calen Carr,CHI,F,27,10,1134,3,2,33,13,0,0/0,2,1,0.24,9.1,2007,REG,1,1,1,0.16,39.4,24,12,4,5,0,CHI,Carr,Calen,F,"$38,000.00","$50,500.00",2007-08-31
60,Claudio Suarez,CHV,D,25,25,2153,3,1,14,9,0,1/1,1,2,0.13,21.4,2007,REG,0,0,1,0.04,64.3,31,11,0,6,1,CHV,Suarez,Claudio,D,"$146,991.60","$146,991.60",2007-08-31
61,Robbie Rogers,CLB,D,10,6,597,3,1,15,6,1,0/0,0,3,0.45,20.0,2007,REG,0,0,1,0.15,40.0,10,12,5,0,0,CLB,Rogers,Robbie,F-M,"$50,000.00","$50,000.00",2007-08-31
62,John Cunliffe,CHV,F,15,5,494,3,1,16,8,0,0/0,0,3,0.55,18.8,2007,REG,0,1,0,0.18,50.0,8,5,7,0,0,CHV,Cunliffe,John,F,"$30,000.00","$45,000.00",2007-08-31
63,Carey Talley,RSL,D,26,25,2195,3,1,28,9,0,2/2,2,1,0.12,10.7,2007,REG,1,0,1,0.04,32.1,38,38,2,6,0,RSL,Talley,Carey,D,"$118,248.00","$118,248.00",2007-08-31
64,Kyle Martino,LA ,M,26,25,1928,3,1,29,10,1,0/1,2,1,0.14,10.3,2007,REG,1,1,0,0.05,34.5,36,43,9,6,2,LA,Martino,Kyle,M,"$52,500.00","$55,297.27",2007-08-31
65,Roberto Brown,COL,F,13,8,696,3,0,14,4,2,0/0,2,1,0.39,21.4,2007,REG,0,0,0,0.00,28.6,31,11,16,2,1,,,,,,,
66,Alan Gordon,LA ,F,14,11,828,3,0,19,8,0,0/0,3,0,0.33,15.8,2007,REG,0,0,0,0.00,42.1,22,17,11,1,0,LA,Gordon,Alan,F,"$30,870.00","$30,870.00",2007-08-31
67,Carlos Pavon,LA ,F,18,10,978,3,0,29,10,0,0/0,0,3,0.28,10.3,2007,REG,0,0,0,0.00,34.5,6,21,24,0,0,LA,Pavon,Carlos,F,"$132,000.00","$141,500.00",2007-08-31
68,Collin Samuel,TOR,F,18,18,1510,3,0,41,24,1,1/1,1,2,0.18,7.3,2007,REG,0,0,0,0.00,58.5,29,34,9,2,0,TFC,Samuel,Collin,F,"$90,000.00","$115,000.00",2007-08-31
69,Dave van den Bergh,NY ,M,29,26,2228,2,8,36,19,0,0/0,1,1,0.08,5.6,2007,REG,1,3,5,0.32,52.8,23,14,3,1,0,,,,,,,
70,Sasha Victorine,KC ,M,29,24,2135,2,7,37,13,0,0/0,1,1,0.08,5.4,2007,REG,2,4,3,0.30,35.1,27,37,5,1,0,KC,Victorine,Sasha,M,"$137,500.00","$140,000.00",2007-08-31
71,Dane Richards,NY ,M,28,27,2335,2,6,24,14,0,0/0,0,2,0.08,8.3,2007,REG,3,6,0,0.23,58.3,50,35,12,5,0,NY,Richards,Dane,F-M,"$30,000.00","$30,000.00",2007-08-31
72,Khano Smith,NE ,M,29,26,2210,2,6,36,12,1,0/0,2,0,0.08,5.6,2007,REG,3,4,2,0.24,33.3,42,41,5,4,0,NE,Smith,Khano,F,"$44,100.00","$44,100.00",2007-08-31
73,Carl Robinson,TOR,M,26,26,2340,2,4,14,8,0,0/0,1,1,0.08,14.3,2007,REG,0,4,0,0.15,57.1,50,24,0,6,0,TFC,Robinson,Carl,M,"$300,000.00","$315,000.00",2007-08-31
74,Jesse Marsch,CHV,M,28,28,2425,2,4,15,6,2,0/0,2,0,0.07,13.3,2007,REG,1,2,2,0.15,40.0,44,31,0,9,0,CHV,Marsch,Jesse,M,"$100,000.00","$109,375.00",2007-08-31
75,Jose Burciaga Jr.,KC ,D,23,23,1826,2,4,26,12,2,0/0,2,0,0.10,7.7,2007,REG,0,3,1,0.20,46.2,26,28,0,5,1,,,,,,,
76,Francisco Mendoza,CHV,M,28,27,2459,2,4,36,16,0,0/0,1,1,0.07,5.6,2007,REG,0,2,2,0.15,44.4,31,46,10,3,0,CHV,Mendoza,Francisco,M,"$90,000.00","$93,750.00",2007-08-31
77,Chris Klein,LA ,M,32,32,2880,2,4,40,16,1,0/0,2,0,0.06,5.0,2007,REG,1,4,0,0.13,40.0,23,20,8,1,0,LA,Klein,Chris,M,"$180,000.00","$187,250.00",2007-08-31
78,Conor Casey,COL,F,17,11,1033,2,3,12,5,1,0/0,1,1,0.17,16.7,2007,REG,1,1,2,0.26,41.7,25,16,9,3,0,COL,Casey,Conor,F,"$180,000.00","$180,000.00",2007-08-31
79,Jack Jewsbury,KC ,M,28,27,2316,2,3,25,6,0,0/0,0,2,0.08,8.0,2007,REG,0,0,3,0.12,24.0,22,34,1,5,0,KC,Jewsbury,Jack,M-F,"$50,000.00","$50,000.00",2007-08-31
80,Ricardo Clark,HOU,M,19,18,1635,2,3,28,11,0,0/0,1,1,0.11,7.1,2007,REG,3,1,2,0.17,39.3,29,22,3,2,1,HOU,Clark,Ricardo,M,"$195,000.00","$195,000.00",2007-08-31
81,Alecko Eskandarian,RSL,F,23,23,1913,2,3,58,30,0,1/2,2,0,0.09,3.4,2007,REG,2,2,1,0.14,51.7,46,50,16,9,1,RSL,Eskandarian,Alecko,F,"$155,000.00","$175,500.00",2007-08-31
82,Eddie Robinson,HOU,D,25,25,2187,2,2,10,5,0,0/0,1,1,0.08,20.0,2007,REG,0,0,2,0.08,50.0,70,64,0,11,1,HOU,Robinson,Eddie,D,"$110,000.00","$110,000.00",2007-08-31
83,Fabian Espindola,RSL,F,12,8,602,2,2,13,9,1,0/0,1,1,0.30,15.4,2007,REG,0,1,1,0.30,69.2,7,16,7,3,1,,,,,,,
84,Paulo Nagamura,CHV,M,26,24,2172,2,2,19,8,2,0/0,0,2,0.08,10.5,2007,REG,0,1,1,0.08,42.1,46,44,1,8,0,CHV,Nagamura,Paulo,M,"$89,250.00","$89,250.00",2007-08-31
85,Colin Clark,COL,M,16,16,1321,2,2,26,5,0,0/0,2,0,0.14,7.7,2007,REG,0,1,1,0.14,19.2,24,24,3,2,0,COL,Clark,Colin,F,"$17,700.00","$17,700.00",2007-08-31
86,Francis Doe,NY ,F,8,4,428,2,1,17,7,0,0/0,2,0,0.42,11.8,2007,REG,0,1,0,0.21,41.2,8,4,15,1,0,NY,Doe,Francis,F,"$48,000.00","$48,000.00",2007-08-31
87,Dema Kovalenko,NY ,M,19,15,1377,2,1,21,7,0,0/0,0,2,0.13,9.5,2007,REG,0,0,1,0.07,33.3,29,22,3,5,0,NY,Kovalenko,Dema,M,"$190,000.00","$197,375.00",2007-08-31
88,Troy Roberts,LA ,D,16,12,1140,2,0,4,2,0,0/0,1,1,0.16,50.0,2007,REG,0,0,0,0.00,50.0,25,11,1,3,1,LA,Roberts,Troy,D,"$30,000.00","$30,000.00",2007-08-31
89,Drew Moor,TOR,D,28,28,2495,2,0,7,3,1,0/0,2,0,0.07,28.6,2007,REG,0,0,0,0.00,42.9,17,30,1,3,0,DAL,Moor,Drew,D,"$53,350.00","$65,850.00",2007-08-31
90,Kyle Brown,RSL,F,8,3,286,2,0,7,4,1,0/0,1,1,0.63,28.6,2007,REG,0,0,0,0.00,57.1,6,1,3,0,0,RSL,Brown,Kyle,F,"$17,700.00","$17,700.00",2007-08-31
91,Chad Marshall,SEA,D,12,11,1020,2,0,8,3,0,0/0,0,2,0.18,25.0,2007,REG,0,0,0,0.00,37.5,7,6,0,0,0,CLB,Marshall,Chad,D,"$100,000.00","$123,000.00",2007-08-31
92,Omar Cummings,COL,F,11,0,182,2,0,10,6,1,0/0,1,1,0.99,20.0,2007,REG,0,0,0,0.00,60.0,2,1,3,0,0,COL,Cummings,Omar,F,"$30,000.00","$30,000.00",2007-08-31
93,Kei Kamara,VAN,F,17,4,475,2,0,16,7,1,0/0,2,0,0.38,12.5,2007,REG,0,0,0,0.00,43.8,11,12,5,0,0,CLB,Kamara,Kei,F,"$33,000.00","$43,000.00",2007-08-31
94,Paulo Wanchope,CHI,F,12,10,932,2,0,26,13,1,0/0,0,2,0.19,7.7,2007,REG,0,0,0,0.00,50.0,20,15,10,2,0,CHI,Wanchope,Paulo,F,"$240,000.00","$267,500.00",2007-08-31
95,Dax McCarty,CHI,M,25,18,1604,1,7,13,5,0,0/0,0,1,0.06,7.7,2007,REG,2,4,3,0.39,38.5,12,46,0,0,0,DAL,McCarty,Dax,M,"$33,000.00","$45,500.00",2007-08-31
96,Carlos Marinelli,KC ,M,26,19,1674,1,5,42,21,0,1/2,0,1,0.05,2.4,2007,REG,1,2,3,0.27,50.0,41,41,1,7,0,KC,Marinelli,Carlos,M,"$165,000.00","$165,000.00",2007-08-31
97,Duncan Oughton,CLB,D,19,13,1231,1,4,9,5,0,0/0,0,1,0.07,11.1,2007,REG,0,2,2,0.29,55.6,17,26,1,3,0,CLB,Oughton,Duncan,D,"$72,000.00","$72,000.00",2007-08-31
98,Marc Burch,MIN,D,18,15,1362,1,3,9,3,0,0/0,1,0,0.07,11.1,2007,REG,1,1,2,0.20,33.3,21,12,1,3,0,DC,Burch,Marc,D,"$30,000.00","$30,000.00",2007-08-31
99,Andy Welsh,TOR,M,20,16,1335,1,3,14,10,1,0/0,1,0,0.07,7.1,2007,REG,1,3,0,0.20,71.4,19,29,4,2,0,,,,,,,
100,Andy Williams,RSL,M,24,12,1277,1,3,19,9,0,0/0,1,0,0.07,5.3,2007,REG,0,1,2,0.21,47.4,29,32,3,1,1,RSL,Williams,Andy,F,"$70,008.00","$70,008.00",2007-08-31
101,Brian Mullan,HOU,D,28,28,2407,1,3,19,6,1,0/0,1,0,0.04,5.3,2007,REG,1,3,0,0.11,31.6,33,55,11,4,0,HOU,Mullan,Brian,M,"$125,000.00","$125,000.00",2007-08-31
102,Chris Gbandi,DAL,D,21,19,1700,1,2,5,3,1,0/0,1,0,0.05,20.0,2007,REG,0,1,1,0.11,60.0,24,11,2,7,1,DAL,Gbandi,Chris,D,"$100,000.00","$103,750.00",2007-08-31
103,Lawson Vaughn,CHV,D,24,22,1901,1,2,5,3,0,0/0,1,0,0.05,20.0,2007,REG,2,2,0,0.09,60.0,27,19,1,6,1,CHV,Vaughn,Lawson,D,"$30,000.00","$30,000.00",2007-08-31
104,Javier Morales,RSL,M,7,5,369,1,2,6,3,0,0/0,1,0,0.24,16.7,2007,REG,0,1,1,0.49,50.0,8,9,1,2,0,RSL,Morales,Javier,M,"$120,000.00","$120,000.00",2007-08-31
105,Nicholas Addlery,DC ,F,11,4,455,1,2,9,2,1,0/0,1,0,0.20,11.1,2007,REG,1,1,1,0.40,22.2,11,8,10,1,0,DC,Addlery,Nicholas,F,"$36,000.00","$36,000.00",2007-08-31
106,Facundo Erpen,COL,D,26,25,2056,1,2,11,2,0,0/0,0,1,0.04,9.1,2007,REG,0,2,0,0.09,18.2,42,23,0,6,1,COL,Erpen,Facundo,D,"$115,000.00","$115,000.00",2007-08-31
107,Ivan Guerrero,CHI,M,19,16,1490,1,2,12,5,1,0/0,0,1,0.06,8.3,2007,REG,1,1,1,0.12,41.7,11,25,3,0,0,CHI,Guerrero,Ivan,D-M,"$160,000.00","$187,500.00",2007-08-31
108,Laurent Merlin,CHV,F,22,7,804,1,2,15,8,0,0/0,1,0,0.11,6.7,2007,REG,0,0,2,0.22,53.3,19,28,8,1,0,CHV,Merlin,Laurent,M,"$60,000.00","$60,000.00",2007-08-31
109,Freddy Adu,RSL,F,11,10,899,1,2,24,12,0,1/1,0,1,0.10,4.2,2007,REG,0,1,1,0.20,50.0,11,25,6,1,0,,,,,,,
110,Mehdi Ballouchy,COL,M,23,22,1853,1,2,35,10,0,0/0,0,1,0.05,2.9,2007,REG,1,1,1,0.10,28.6,40,39,5,8,1,COL,Ballouchy,Mehdi,M,"$70,000.00","$88,000.00",2007-08-31
111,Orlando Perez,CHV,D,15,12,1033,1,1,3,1,0,0/0,1,0,0.09,33.3,2007,REG,0,1,0,0.09,33.3,10,7,0,5,0,CHV,Perez,Orlando,D,"$70,000.00","$70,000.00",2007-08-31
112,Andrew Boyens,TOR,D,23,21,1825,1,1,4,2,1,0/0,1,0,0.05,25.0,2007,REG,0,1,0,0.05,50.0,33,18,0,4,2,TFC,Boyens,Andrew,D,"$30,000.00","$47,500.00",2007-08-31
113,Chris Wondolowski,SJ,F,16,3,307,1,1,6,1,0,0/0,0,1,0.29,16.7,2007,REG,0,1,0,0.29,16.7,4,3,4,0,0,HOU,Wondolowski,Chris,M,"$30,000.00","$30,000.00",2007-08-31
114,Hunter Freeman,NY ,D,16,15,1342,1,1,6,4,1,0/0,0,1,0.07,16.7,2007,REG,1,1,0,0.07,66.7,21,19,0,2,0,NY,Freeman,Hunter,D-M,"$50,600.00","$60,600.00",2007-08-31
115,Eloy Colombano,KC ,M-F,10,1,310,1,1,6,1,0,0/0,0,1,0.29,16.7,2007,REG,1,1,0,0.29,16.7,3,5,4,1,0,KC,Colombano,Eloy,F-M,"$42,000.00","$42,000.00",2007-08-31
116,Willian Oliveira,CHI,M,8,4,381,1,1,7,4,0,0/0,1,0,0.24,14.3,2007,REG,0,1,0,0.24,57.1,1,6,3,0,0,,,,,,,
117,Clarence Goodson,DAL,D,27,27,2297,1,1,9,5,1,0/0,1,0,0.04,11.1,2007,REG,0,1,0,0.04,55.6,36,37,0,6,0,DAL,Goodson,Clarence,D,"$48,378.75","$53,378.75",2007-08-31
118,Kevin Goldthwaite,HOU,D,19,17,1466,1,1,11,6,1,0/0,1,0,0.06,9.1,2007,REG,0,1,0,0.06,54.5,21,20,0,4,1,NY,Goldthwaite,Kevin,D,"$30,870.00","$30,870.00",2007-08-31
119,Joshua Gros,DC ,M-D,22,22,1854,1,1,11,8,1,0/0,0,1,0.05,9.1,2007,REG,0,1,0,0.05,72.7,22,20,5,3,0,DC,Gros,Joshua,M,"$72,500.00","$75,000.00",2007-08-31
