,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Base Salary,Guaranteed Compensation,Date
14,Joseph Ngwenya,HOU,F,30.0,30.0,2362.0,7.0,4.0,40.0,23.0,2.0,5.0,2.0,0.27,17.5,2007,REG,0.0,3.0,1.0,0.15,57.5,26.0,60.0,55.0,4.0,0.0,0.0,0.0,Ngwenya,Joseph,51148.13,62023.13,2007-08-31
15,Pat Noonan,NE,F,27.0,21.0,1736.0,7.0,4.0,42.0,24.0,1.0,6.0,1.0,0.36,16.7,2007,REG,1.0,3.0,1.0,0.21,57.1,12.0,41.0,32.0,2.0,0.0,0.0,0.0,Noonan,Pat,225000.0,227500.0,2007-08-31
16,Scott Sealy,KC,F,18.0,15.0,1193.0,7.0,2.0,33.0,20.0,2.0,4.0,3.0,0.53,21.2,2007,REG,0.0,0.0,2.0,0.15,60.6,7.0,30.0,23.0,1.0,0.0,0.0,0.0,Sealy,Scott,33075.0,33075.0,2007-08-31
17,Brian Ching,HOU,F,20.0,17.0,1590.0,7.0,2.0,48.0,18.0,3.0,4.0,3.0,0.4,14.6,2007,REG,0.0,0.0,2.0,0.11,37.5,31.0,46.0,15.0,1.0,0.0,0.0,0.0,Ching,Brian,220000.0,220000.0,2007-08-31
18,Andy Dorman,NE,M,30.0,27.0,2269.0,7.0,2.0,48.0,27.0,2.0,4.0,3.0,0.28,14.6,2007,REG,0.0,1.0,1.0,0.08,56.3,28.0,18.0,4.0,5.0,0.0,0.0,0.0,Dorman,Andy,30870.0,30870.0,2007-08-31
19,Nate Jaqua,HOU,F,25.0,19.0,1772.0,7.0,2.0,49.0,19.0,1.0,6.0,1.0,0.36,14.3,2007,REG,0.0,1.0,1.0,0.1,38.8,34.0,29.0,8.0,6.0,0.0,0.0,0.0,Jaqua,Nate,112500.0,119525.0,2007-08-31
20,Chad Barrett,CHI,F,30.0,25.0,1983.0,7.0,2.0,59.0,37.0,2.0,5.0,2.0,0.32,11.9,2007,REG,0.0,2.0,0.0,0.09,62.7,21.0,22.0,37.0,3.0,0.0,1.0,1.0,Barrett,Chad,41212.5,48712.5,2007-08-31
21,Carlos Ruiz,DAL,F,22.0,19.0,1721.0,7.0,2.0,59.0,25.0,0.0,2.0,5.0,0.37,11.9,2007,REG,0.0,0.0,2.0,0.1,42.4,46.0,41.0,23.0,9.0,1.0,1.0,1.0,Ruiz,Carlos,325000.0,435000.0,2007-08-31
23,Chris Rolfe,CHI,F,19.0,18.0,1451.0,6.0,3.0,38.0,19.0,2.0,2.0,4.0,0.37,15.8,2007,REG,1.0,2.0,1.0,0.19,50.0,13.0,22.0,4.0,1.0,0.0,1.0,1.0,Rolfe,Chris,70000.0,74700.0,2007-08-31
24,Clint Mathis,NY,M,26.0,19.0,1722.0,6.0,2.0,47.0,22.0,0.0,4.0,2.0,0.31,12.8,2007,REG,1.0,2.0,0.0,0.1,46.8,16.0,15.0,5.0,2.0,2.0,0.0,1.0,Mathis,Clint,270000.0,410000.0,2007-08-31
28,Jovan Kirovski,COL,M-F,28.0,28.0,2161.0,6.0,1.0,36.0,14.0,2.0,4.0,2.0,0.25,16.7,2007,REG,1.0,1.0,0.0,0.04,38.9,38.0,19.0,16.0,3.0,0.0,4.0,4.0,Kirovski,Jovan,200000.0,200000.0,2007-08-31
29,Guillermo Barros Schelotto,CLB,F,22.0,19.0,1605.0,5.0,11.0,39.0,18.0,3.0,3.0,2.0,0.28,12.8,2007,REG,1.0,3.0,8.0,0.62,46.2,23.0,65.0,20.0,5.0,0.0,1.0,1.0,Barros Schelotto,Guillermo,150000.0,150000.0,2007-08-31
30,Eddie Gaven,CLB,M,27.0,21.0,1923.0,5.0,7.0,59.0,33.0,0.0,4.0,1.0,0.23,8.5,2007,REG,1.0,0.0,7.0,0.33,55.9,18.0,50.0,10.0,1.0,0.0,0.0,0.0,Gaven,Eddie,165000.0,188000.0,2007-08-31
31,Stuart Holden,HOU,M,22.0,10.0,1030.0,5.0,5.0,24.0,13.0,3.0,2.0,3.0,0.44,20.8,2007,REG,2.0,3.0,2.0,0.44,54.2,18.0,15.0,1.0,2.0,0.0,0.0,0.0,Holden,Stuart,31500.0,31500.0,2007-08-31
32,Abe Thompson,DAL,F,24.0,15.0,1227.0,5.0,4.0,19.0,11.0,2.0,2.0,3.0,0.37,26.3,2007,REG,1.0,1.0,3.0,0.29,57.9,14.0,10.0,13.0,2.0,0.0,2.0,2.0,Thompson,Abe,30000.0,30000.0,2007-08-31
33,Edson Buddle,LA,F,26.0,15.0,1251.0,5.0,2.0,47.0,23.0,2.0,4.0,1.0,0.36,10.6,2007,REG,1.0,2.0,0.0,0.14,48.9,29.0,21.0,19.0,3.0,0.0,0.0,0.0,Buddle,Edson,140000.0,150000.0,2007-08-31
34,Chris Brown,RSL,M-F,22.0,12.0,1083.0,5.0,0.0,23.0,13.0,0.0,2.0,3.0,0.42,21.7,2007,REG,0.0,0.0,0.0,0.0,56.5,9.0,12.0,4.0,0.0,0.0,0.0,0.0,Brown,Chris,70000.0,70000.0,2007-08-31
35,Yura Movsisyan,KC,F,23.0,9.0,993.0,5.0,0.0,42.0,13.0,1.0,2.0,3.0,0.45,11.9,2007,REG,0.0,0.0,0.0,0.0,31.0,25.0,24.0,4.0,1.0,1.0,0.0,0.0,Movsisyan,Yura,35750.0,45750.0,2007-08-31
36,Steve Ralston,NE,M,26.0,26.0,2337.0,4.0,14.0,33.0,18.0,2.0,4.0,0.0,0.15,12.1,2007,REG,2.0,9.0,5.0,0.54,54.5,16.0,29.0,3.0,1.0,0.0,0.0,0.0,Ralston,Steve,150000.0,150000.0,2007-08-31
37,Sacha Kljestan,CHV,M,25.0,25.0,2186.0,4.0,13.0,40.0,21.0,0.0,1.0,3.0,0.16,10.0,2007,REG,3.0,8.0,5.0,0.54,52.5,45.0,34.0,2.0,5.0,0.0,1.0,1.0,Kljestan,Sacha,70000.0,103000.0,2007-08-31
38,Davy Arnaud,KC,M,28.0,28.0,2489.0,4.0,9.0,74.0,29.0,0.0,1.0,3.0,0.14,5.4,2007,REG,2.0,4.0,5.0,0.33,39.2,46.0,63.0,9.0,6.0,1.0,0.0,0.0,Arnaud,Davy,100000.0,101875.0,2007-08-31
39,Cuauhtemoc Blanco,CHI,M,14.0,14.0,1233.0,4.0,7.0,26.0,14.0,2.0,2.0,2.0,0.29,15.4,2007,REG,2.0,4.0,3.0,0.51,53.8,8.0,61.0,7.0,3.0,0.0,1.0,2.0,Blanco,Cuauhtemoc,2492316.0,2666778.0,2007-08-31
40,Cobi Jones,LA,M,25.0,19.0,1679.0,4.0,5.0,19.0,12.0,1.0,4.0,0.0,0.21,21.1,2007,REG,3.0,4.0,1.0,0.27,63.2,9.0,26.0,7.0,0.0,0.0,0.0,0.0,Jones,Cobi,95000.0,95000.0,2007-08-31
41,Shalrie Joseph,NE,M,27.0,27.0,2366.0,4.0,5.0,42.0,14.0,1.0,3.0,1.0,0.15,9.5,2007,REG,4.0,2.0,3.0,0.19,33.3,55.0,52.0,5.0,4.0,1.0,3.0,4.0,Joseph,Shalrie,170625.0,180625.0,2007-08-31
42,Adam Cristman,NE,F,28.0,14.0,1421.0,4.0,4.0,40.0,16.0,0.0,3.0,1.0,0.25,10.0,2007,REG,1.0,3.0,1.0,0.25,40.0,41.0,51.0,10.0,1.0,0.0,0.0,0.0,Cristman,Adam,17700.0,17700.0,2007-08-31
43,Andy Herron,CLB,F,18.0,10.0,794.0,4.0,2.0,19.0,10.0,0.0,2.0,2.0,0.45,21.1,2007,REG,1.0,2.0,0.0,0.23,52.6,17.0,8.0,7.0,2.0,0.0,1.0,1.0,Herron,Andy,140000.0,148750.0,2007-08-31
44,Kenny Cooper,DAL,F,14.0,12.0,1068.0,4.0,2.0,33.0,16.0,1.0,0.0,4.0,0.34,12.1,2007,REG,0.0,1.0,1.0,0.17,48.5,16.0,19.0,9.0,0.0,0.0,1.0,1.0,Cooper,Kenny,80000.0,83000.0,2007-08-31
46,Maurice Edu,TOR,M,25.0,25.0,2180.0,4.0,1.0,24.0,8.0,1.0,3.0,1.0,0.17,16.7,2007,REG,0.0,1.0,0.0,0.04,33.3,65.0,50.0,1.0,6.0,1.0,0.0,0.0,Edu,Maurice,50000.0,132500.0,2007-08-31
47,Gavin Glinton,LA,F,19.0,3.0,711.0,4.0,0.0,19.0,12.0,2.0,1.0,3.0,0.51,21.1,2007,REG,0.0,0.0,0.0,0.0,63.2,7.0,20.0,5.0,0.0,0.0,0.0,0.0,Glinton,Gavin,50000.0,50000.0,2007-08-31
48,Ramon Nunez,CHV,M,21.0,12.0,1248.0,3.0,5.0,43.0,15.0,2.0,3.0,0.0,0.22,7.0,2007,REG,2.0,1.0,4.0,0.36,34.9,7.0,29.0,1.0,1.0,0.0,0.0,0.0,Nunez,Ramon,100000.0,118000.0,2007-08-31
49,Michael Harrington,KC,D,29.0,27.0,2422.0,3.0,4.0,15.0,9.0,0.0,2.0,1.0,0.11,20.0,2007,REG,1.0,2.0,2.0,0.15,60.0,38.0,26.0,7.0,1.0,0.0,0.0,0.0,Harrington,Michael,36000.0,53500.0,2007-08-31
50,Jeff Larentowicz,NE,M,28.0,28.0,2455.0,3.0,4.0,28.0,9.0,1.0,1.0,2.0,0.11,10.7,2007,REG,1.0,3.0,1.0,0.15,32.1,61.0,30.0,0.0,5.0,0.0,0.0,0.0,Larentowicz,Jeff,30000.0,30000.0,2007-08-31
51,Brad Davis,HOU,M,17.0,16.0,1275.0,3.0,3.0,27.0,18.0,0.0,3.0,0.0,0.21,11.1,2007,REG,1.0,1.0,2.0,0.21,66.7,18.0,30.0,2.0,1.0,0.0,1.0,1.0,Davis,Brad,120000.0,120000.0,2007-08-31
52,Ned Grabavoy,CLB,M,26.0,24.0,2093.0,3.0,3.0,37.0,17.0,0.0,2.0,1.0,0.13,8.1,2007,REG,1.0,1.0,2.0,0.13,45.9,22.0,34.0,2.0,2.0,0.0,0.0,1.0,Grabavoy,Ned,45050.25,52550.25,2007-08-31
53,Kyle Beckerman,RSL,M,28.0,27.0,2430.0,3.0,3.0,52.0,19.0,0.0,0.0,3.0,0.11,5.8,2007,REG,2.0,2.0,1.0,0.11,36.5,39.0,41.0,2.0,9.0,0.0,0.0,0.0,Beckerman,Kyle,120000.0,122500.0,2007-08-31
54,Arturo Alvarez,DAL,M,27.0,21.0,1898.0,3.0,3.0,61.0,30.0,0.0,2.0,1.0,0.14,4.9,2007,REG,1.0,1.0,2.0,0.14,49.2,35.0,34.0,5.0,2.0,0.0,0.0,0.0,Alvarez,Arturo,32819.0,46019.0,2007-08-31
55,Kerry Zavagnin,KC,M,29.0,29.0,2564.0,3.0,2.0,16.0,5.0,0.0,2.0,1.0,0.11,18.8,2007,REG,0.0,1.0,1.0,0.07,31.3,35.0,42.0,0.0,6.0,0.0,0.0,0.0,Zavagnin,Kerry,154000.0,154000.0,2007-08-31
56,Stefani Miglioranzi,CLB,M,23.0,17.0,1621.0,3.0,2.0,18.0,7.0,1.0,1.0,2.0,0.17,16.7,2007,REG,1.0,1.0,1.0,0.11,38.9,26.0,11.0,1.0,3.0,0.0,0.0,0.0,Miglioranzi,Stefani,70008.0,86258.0,2007-08-31
57,Dominic Oduro,DAL,M,29.0,10.0,1163.0,3.0,2.0,24.0,13.0,1.0,2.0,1.0,0.23,12.5,2007,REG,0.0,0.0,2.0,0.15,54.2,16.0,23.0,17.0,3.0,0.0,0.0,0.0,Oduro,Dominic,30000.0,30000.0,2007-08-31
58,John Wolyniec,NY,F,21.0,13.0,1032.0,3.0,2.0,24.0,7.0,3.0,2.0,1.0,0.26,12.5,2007,REG,1.0,1.0,1.0,0.17,29.2,16.0,27.0,7.0,1.0,0.0,0.0,0.0,Wolyniec,John,65625.0,65625.0,2007-08-31
59,Calen Carr,CHI,F,27.0,10.0,1134.0,3.0,2.0,33.0,13.0,0.0,2.0,1.0,0.24,9.1,2007,REG,1.0,1.0,1.0,0.16,39.4,24.0,12.0,4.0,5.0,0.0,0.0,0.0,Carr,Calen,38000.0,50500.0,2007-08-31
60,Claudio Suarez,CHV,D,25.0,25.0,2153.0,3.0,1.0,14.0,9.0,0.0,1.0,2.0,0.13,21.4,2007,REG,0.0,0.0,1.0,0.04,64.3,31.0,11.0,0.0,6.0,1.0,1.0,1.0,Suarez,Claudio,146991.6,146991.6,2007-08-31
61,Robbie Rogers,CLB,D,10.0,6.0,597.0,3.0,1.0,15.0,6.0,1.0,0.0,3.0,0.45,20.0,2007,REG,0.0,0.0,1.0,0.15,40.0,10.0,12.0,5.0,0.0,0.0,0.0,0.0,Rogers,Robbie,50000.0,50000.0,2007-08-31
62,John Cunliffe,CHV,F,15.0,5.0,494.0,3.0,1.0,16.0,8.0,0.0,0.0,3.0,0.55,18.8,2007,REG,0.0,1.0,0.0,0.18,50.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,Cunliffe,John,30000.0,45000.0,2007-08-31
63,Carey Talley,RSL,D,26.0,25.0,2195.0,3.0,1.0,28.0,9.0,0.0,2.0,1.0,0.12,10.7,2007,REG,1.0,0.0,1.0,0.04,32.1,38.0,38.0,2.0,6.0,0.0,2.0,2.0,Talley,Carey,118248.0,118248.0,2007-08-31
64,Kyle Martino,LA,M,26.0,25.0,1928.0,3.0,1.0,29.0,10.0,1.0,2.0,1.0,0.14,10.3,2007,REG,1.0,1.0,0.0,0.05,34.5,36.0,43.0,9.0,6.0,2.0,0.0,1.0,Martino,Kyle,52500.0,55297.27,2007-08-31
66,Alan Gordon,LA,F,14.0,11.0,828.0,3.0,0.0,19.0,8.0,0.0,3.0,0.0,0.33,15.8,2007,REG,0.0,0.0,0.0,0.0,42.1,22.0,17.0,11.0,1.0,0.0,0.0,0.0,Gordon,Alan,30870.0,30870.0,2007-08-31
67,Carlos Pavon,LA,F,18.0,10.0,978.0,3.0,0.0,29.0,10.0,0.0,0.0,3.0,0.28,10.3,2007,REG,0.0,0.0,0.0,0.0,34.5,6.0,21.0,24.0,0.0,0.0,0.0,0.0,Pavon,Carlos,132000.0,141500.0,2007-08-31
68,Collin Samuel,TOR,F,18.0,18.0,1510.0,3.0,0.0,41.0,24.0,1.0,1.0,2.0,0.18,7.3,2007,REG,0.0,0.0,0.0,0.0,58.5,29.0,34.0,9.0,2.0,0.0,1.0,1.0,Samuel,Collin,90000.0,115000.0,2007-08-31
70,Sasha Victorine,KC,M,29.0,24.0,2135.0,2.0,7.0,37.0,13.0,0.0,1.0,1.0,0.08,5.4,2007,REG,2.0,4.0,3.0,0.3,35.1,27.0,37.0,5.0,1.0,0.0,0.0,0.0,Victorine,Sasha,137500.0,140000.0,2007-08-31
71,Dane Richards,NY,M,28.0,27.0,2335.0,2.0,6.0,24.0,14.0,0.0,0.0,2.0,0.08,8.3,2007,REG,3.0,6.0,0.0,0.23,58.3,50.0,35.0,12.0,5.0,0.0,0.0,0.0,Richards,Dane,30000.0,30000.0,2007-08-31
72,Khano Smith,NE,M,29.0,26.0,2210.0,2.0,6.0,36.0,12.0,1.0,2.0,0.0,0.08,5.6,2007,REG,3.0,4.0,2.0,0.24,33.3,42.0,41.0,5.0,4.0,0.0,0.0,0.0,Smith,Khano,44100.0,44100.0,2007-08-31
73,Carl Robinson,TOR,M,26.0,26.0,2340.0,2.0,4.0,14.0,8.0,0.0,1.0,1.0,0.08,14.3,2007,REG,0.0,4.0,0.0,0.15,57.1,50.0,24.0,0.0,6.0,0.0,0.0,0.0,Robinson,Carl,300000.0,315000.0,2007-08-31
74,Jesse Marsch,CHV,M,28.0,28.0,2425.0,2.0,4.0,15.0,6.0,2.0,2.0,0.0,0.07,13.3,2007,REG,1.0,2.0,2.0,0.15,40.0,44.0,31.0,0.0,9.0,0.0,0.0,0.0,Marsch,Jesse,100000.0,109375.0,2007-08-31
76,Francisco Mendoza,CHV,M,28.0,27.0,2459.0,2.0,4.0,36.0,16.0,0.0,1.0,1.0,0.07,5.6,2007,REG,0.0,2.0,2.0,0.15,44.4,31.0,46.0,10.0,3.0,0.0,0.0,0.0,Mendoza,Francisco,90000.0,93750.0,2007-08-31
77,Chris Klein,LA,M,32.0,32.0,2880.0,2.0,4.0,40.0,16.0,1.0,2.0,0.0,0.06,5.0,2007,REG,1.0,4.0,0.0,0.13,40.0,23.0,20.0,8.0,1.0,0.0,0.0,0.0,Klein,Chris,180000.0,187250.0,2007-08-31
78,Conor Casey,COL,F,17.0,11.0,1033.0,2.0,3.0,12.0,5.0,1.0,1.0,1.0,0.17,16.7,2007,REG,1.0,1.0,2.0,0.26,41.7,25.0,16.0,9.0,3.0,0.0,0.0,0.0,Casey,Conor,180000.0,180000.0,2007-08-31
79,Jack Jewsbury,KC,M,28.0,27.0,2316.0,2.0,3.0,25.0,6.0,0.0,0.0,2.0,0.08,8.0,2007,REG,0.0,0.0,3.0,0.12,24.0,22.0,34.0,1.0,5.0,0.0,0.0,0.0,Jewsbury,Jack,50000.0,50000.0,2007-08-31
80,Ricardo Clark,HOU,M,19.0,18.0,1635.0,2.0,3.0,28.0,11.0,0.0,1.0,1.0,0.11,7.1,2007,REG,3.0,1.0,2.0,0.17,39.3,29.0,22.0,3.0,2.0,1.0,0.0,0.0,Clark,Ricardo,195000.0,195000.0,2007-08-31
81,Alecko Eskandarian,RSL,F,23.0,23.0,1913.0,2.0,3.0,58.0,30.0,0.0,2.0,0.0,0.09,3.4,2007,REG,2.0,2.0,1.0,0.14,51.7,46.0,50.0,16.0,9.0,1.0,1.0,2.0,Eskandarian,Alecko,155000.0,175500.0,2007-08-31
82,Eddie Robinson,HOU,D,25.0,25.0,2187.0,2.0,2.0,10.0,5.0,0.0,1.0,1.0,0.08,20.0,2007,REG,0.0,0.0,2.0,0.08,50.0,70.0,64.0,0.0,11.0,1.0,0.0,0.0,Robinson,Eddie,110000.0,110000.0,2007-08-31
84,Paulo Nagamura,CHV,M,26.0,24.0,2172.0,2.0,2.0,19.0,8.0,2.0,0.0,2.0,0.08,10.5,2007,REG,0.0,1.0,1.0,0.08,42.1,46.0,44.0,1.0,8.0,0.0,0.0,0.0,Nagamura,Paulo,89250.0,89250.0,2007-08-31
85,Colin Clark,COL,M,16.0,16.0,1321.0,2.0,2.0,26.0,5.0,0.0,2.0,0.0,0.14,7.7,2007,REG,0.0,1.0,1.0,0.14,19.2,24.0,24.0,3.0,2.0,0.0,0.0,0.0,Clark,Colin,17700.0,17700.0,2007-08-31
86,Francis Doe,NY,F,8.0,4.0,428.0,2.0,1.0,17.0,7.0,0.0,2.0,0.0,0.42,11.8,2007,REG,0.0,1.0,0.0,0.21,41.2,8.0,4.0,15.0,1.0,0.0,0.0,0.0,Doe,Francis,48000.0,48000.0,2007-08-31
87,Dema Kovalenko,NY,M,19.0,15.0,1377.0,2.0,1.0,21.0,7.0,0.0,0.0,2.0,0.13,9.5,2007,REG,0.0,0.0,1.0,0.07,33.3,29.0,22.0,3.0,5.0,0.0,0.0,0.0,Kovalenko,Dema,190000.0,197375.0,2007-08-31
88,Troy Roberts,LA,D,16.0,12.0,1140.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.16,50.0,2007,REG,0.0,0.0,0.0,0.0,50.0,25.0,11.0,1.0,3.0,1.0,0.0,0.0,Roberts,Troy,30000.0,30000.0,2007-08-31
89,Drew Moor,DAL,D,28.0,28.0,2495.0,2.0,0.0,7.0,3.0,1.0,2.0,0.0,0.07,28.6,2007,REG,0.0,0.0,0.0,0.0,42.9,17.0,30.0,1.0,3.0,0.0,0.0,0.0,Moor,Drew,53350.0,65850.0,2007-08-31
90,Kyle Brown,RSL,F,8.0,3.0,286.0,2.0,0.0,7.0,4.0,1.0,1.0,1.0,0.63,28.6,2007,REG,0.0,0.0,0.0,0.0,57.1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,Brown,Kyle,17700.0,17700.0,2007-08-31
91,Chad Marshall,CLB,D,12.0,11.0,1020.0,2.0,0.0,8.0,3.0,0.0,0.0,2.0,0.18,25.0,2007,REG,0.0,0.0,0.0,0.0,37.5,7.0,6.0,0.0,0.0,0.0,0.0,0.0,Marshall,Chad,100000.0,123000.0,2007-08-31
92,Omar Cummings,COL,F,11.0,0.0,182.0,2.0,0.0,10.0,6.0,1.0,1.0,1.0,0.99,20.0,2007,REG,0.0,0.0,0.0,0.0,60.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,Cummings,Omar,30000.0,30000.0,2007-08-31
93,Kei Kamara,CLB,F,17.0,4.0,475.0,2.0,0.0,16.0,7.0,1.0,2.0,0.0,0.38,12.5,2007,REG,0.0,0.0,0.0,0.0,43.8,11.0,12.0,5.0,0.0,0.0,0.0,0.0,Kamara,Kei,33000.0,43000.0,2007-08-31
94,Paulo Wanchope,CHI,F,12.0,10.0,932.0,2.0,0.0,26.0,13.0,1.0,0.0,2.0,0.19,7.7,2007,REG,0.0,0.0,0.0,0.0,50.0,20.0,15.0,10.0,2.0,0.0,0.0,0.0,Wanchope,Paulo,240000.0,267500.0,2007-08-31
95,Dax McCarty,DAL,M,25.0,18.0,1604.0,1.0,7.0,13.0,5.0,0.0,0.0,1.0,0.06,7.7,2007,REG,2.0,4.0,3.0,0.39,38.5,12.0,46.0,0.0,0.0,0.0,0.0,0.0,McCarty,Dax,33000.0,45500.0,2007-08-31
96,Carlos Marinelli,KC,M,26.0,19.0,1674.0,1.0,5.0,42.0,21.0,0.0,0.0,1.0,0.05,2.4,2007,REG,1.0,2.0,3.0,0.27,50.0,41.0,41.0,1.0,7.0,0.0,1.0,2.0,Marinelli,Carlos,165000.0,165000.0,2007-08-31
97,Duncan Oughton,CLB,D,19.0,13.0,1231.0,1.0,4.0,9.0,5.0,0.0,0.0,1.0,0.07,11.1,2007,REG,0.0,2.0,2.0,0.29,55.6,17.0,26.0,1.0,3.0,0.0,0.0,0.0,Oughton,Duncan,72000.0,72000.0,2007-08-31
98,Marc Burch,DC,D,18.0,15.0,1362.0,1.0,3.0,9.0,3.0,0.0,1.0,0.0,0.07,11.1,2007,REG,1.0,1.0,2.0,0.2,33.3,21.0,12.0,1.0,3.0,0.0,0.0,0.0,Burch,Marc,30000.0,30000.0,2007-08-31
100,Andy Williams,RSL,M,24.0,12.0,1277.0,1.0,3.0,19.0,9.0,0.0,1.0,0.0,0.07,5.3,2007,REG,0.0,1.0,2.0,0.21,47.4,29.0,32.0,3.0,1.0,1.0,0.0,0.0,Williams,Andy,70008.0,70008.0,2007-08-31
101,Brian Mullan,HOU,D,28.0,28.0,2407.0,1.0,3.0,19.0,6.0,1.0,1.0,0.0,0.04,5.3,2007,REG,1.0,3.0,0.0,0.11,31.6,33.0,55.0,11.0,4.0,0.0,0.0,0.0,Mullan,Brian,125000.0,125000.0,2007-08-31
102,Chris Gbandi,DAL,D,21.0,19.0,1700.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,0.05,20.0,2007,REG,0.0,1.0,1.0,0.11,60.0,24.0,11.0,2.0,7.0,1.0,0.0,0.0,Gbandi,Chris,100000.0,103750.0,2007-08-31
103,Lawson Vaughn,CHV,D,24.0,22.0,1901.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0,0.05,20.0,2007,REG,2.0,2.0,0.0,0.09,60.0,27.0,19.0,1.0,6.0,1.0,0.0,0.0,Vaughn,Lawson,30000.0,30000.0,2007-08-31
104,Javier Morales,RSL,M,7.0,5.0,369.0,1.0,2.0,6.0,3.0,0.0,1.0,0.0,0.24,16.7,2007,REG,0.0,1.0,1.0,0.49,50.0,8.0,9.0,1.0,2.0,0.0,0.0,0.0,Morales,Javier,120000.0,120000.0,2007-08-31
105,Nicholas Addlery,DC,F,11.0,4.0,455.0,1.0,2.0,9.0,2.0,1.0,1.0,0.0,0.2,11.1,2007,REG,1.0,1.0,1.0,0.4,22.2,11.0,8.0,10.0,1.0,0.0,0.0,0.0,Addlery,Nicholas,36000.0,36000.0,2007-08-31
106,Facundo Erpen,COL,D,26.0,25.0,2056.0,1.0,2.0,11.0,2.0,0.0,0.0,1.0,0.04,9.1,2007,REG,0.0,2.0,0.0,0.09,18.2,42.0,23.0,0.0,6.0,1.0,0.0,0.0,Erpen,Facundo,115000.0,115000.0,2007-08-31
